entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.114,0.1648,0.1007,0.04748,0.02782,0.1389,0.1239,0.05188,0.02161,0.02631,0.03329,0.2073,0.2208,
2.115,0.1446,0.103,0.04753,0.02788,0.139,0.1223,0.05204,0.02167,0.0264,0.03339,0.2079,0.2189,
2.115,0.1397,0.1037,0.04753,0.0279,0.1372,0.1212,0.05222,0.02174,0.02649,0.03351,0.2087,0.2198,
2.115,0.1432,0.1033,0.04728,0.02793,0.1357,0.1209,0.05235,0.02181,0.02657,0.03361,0.2093,0.2212,
2.113,0.113,0.1029,0.04734,0.02795,0.134,0.1191,0.05243,0.02187,0.02664,0.0337,0.2099,0.2241,
2.116,0.1187,0.1081,0.0474,0.02794,0.1316,0.1179,0.05262,0.02194,0.02673,0.03382,0.2107,0.2213,
2.117,0.1236,0.1093,0.04757,0.02806,0.129,0.118,0.05285,0.02204,0.02684,0.03398,0.2116,0.2208,
2.116,0.1225,0.1091,0.04747,0.02814,0.1272,0.117,0.05301,0.0221,0.02692,0.03408,0.2123,0.2227,
2.116,0.1181,0.11,0.04754,0.02821,0.1259,0.1164,0.05312,0.02217,0.02699,0.03417,0.2129,0.2227,
2.119,0.1228,0.1148,0.04756,0.02824,0.1251,0.1157,0.05318,0.02219,0.02702,0.03421,0.2142,0.2179,
2.119,0.1249,0.1178,0.04745,0.02832,0.1237,0.1082,0.0533,0.02226,0.0271,0.03621,0.2129,0.2228,
2.119,0.1296,0.1176,0.04739,0.02829,0.1236,0.1078,0.05325,0.02224,0.02707,0.03618,0.2138,0.2229,
2.117,0.1321,0.1175,0.04739,0.0283,0.1235,0.1054,0.05327,0.02224,0.02708,0.03619,0.2138,0.2254,
2.119,0.1223,0.1221,0.04742,0.02831,0.1233,0.1049,0.0533,0.02225,0.02709,0.03621,0.2139,0.2211,
2.117,0.1348,0.1218,0.04726,0.0282,0.1229,0.1037,0.05321,0.02221,0.02705,0.03615,0.2157,0.2218,
2.125,0.125,0.1286,0.04726,0.02821,0.1229,0.1022,0.05322,0.02222,0.02705,0.03879,0.2131,0.2163,
2.124,0.1329,0.1283,0.04707,0.02822,0.123,0.1023,0.05325,0.02223,0.02707,0.03882,0.2133,0.2165,
2.125,0.1251,0.1301,0.04695,0.02822,0.1231,0.1023,0.05327,0.02224,0.02708,0.03883,0.2134,0.2145,
2.124,0.1167,0.1299,0.04697,0.02801,0.1229,0.1017,0.0533,0.02225,0.02709,0.03885,0.2135,0.2155,
2.125,0.1222,0.1324,0.04701,0.02803,0.1227,0.1008,0.05334,0.02227,0.02712,0.03888,0.2136,0.2139,
2.125,0.1146,0.1318,0.04705,0.02805,0.1226,0.1004,0.05336,0.02229,0.02714,0.03892,0.2138,0.2147,
2.124,0.1113,0.1317,0.04706,0.02806,0.1224,0.09918,0.05338,0.0223,0.02715,0.03893,0.2139,0.216,
2.122,0.1107,0.1322,0.04696,0.02757,0.1223,0.09835,0.0534,0.02231,0.02716,0.03895,0.214,0.2168,
2.123,0.1168,0.1358,0.04686,0.02757,0.1224,0.09655,0.05342,0.02232,0.02718,0.03897,0.2141,0.2149,
2.122,0.113,0.1357,0.04687,0.02757,0.1224,0.09621,0.05343,0.02232,0.02718,0.03897,0.2141,0.2153,
2.119,0.1176,0.1332,0.04659,0.02751,0.122,0.09542,0.05329,0.02228,0.02712,0.03889,0.2169,0.2168,
2.118,0.1224,0.1327,0.04662,0.02721,0.122,0.09508,0.05333,0.02229,0.02714,0.03892,0.2171,0.2177,
2.118,0.1302,0.1323,0.04658,0.02718,0.1219,0.09501,0.05329,0.02228,0.02712,0.03889,0.218,0.2175,
2.119,0.132,0.1335,0.04654,0.02687,0.1219,0.09467,0.05332,0.02229,0.02714,0.03997,0.2171,0.2167,
2.125,0.1158,0.136,0.04656,0.02687,0.1218,0.09403,0.05337,0.02231,0.02716,0.04289,0.2144,0.2147,
2.126,0.1104,0.1378,0.04654,0.02685,0.1216,0.094,0.05335,0.0223,0.02715,0.04345,0.2148,0.2122,
2.127,0.1118,0.1375,0.04661,0.0269,0.1215,0.09388,0.0535,0.02204,0.02829,0.04295,0.2143,0.2125,
2.096,0.1452,0.1367,0.04655,0.02694,0.1219,0.1218,0.02464,0.02196,0.02851,0.04252,0.2151,0.2133,
2.097,0.1196,0.1356,0.04667,0.02703,0.1225,0.1214,0.02465,0.02224,0.03037,0.04042,0.2152,0.2138,
2.099,0.1241,0.1348,0.04674,0.02685,0.1228,0.1212,0.02438,0.0225,0.03049,0.04187,0.2136,0.2148,
2.098,0.1375,0.1346,0.04657,0.02669,0.1228,0.12,0.02429,0.02251,0.03152,0.04087,0.2136,0.2165,
2.1,0.1214,0.1388,0.04658,0.02673,0.123,0.119,0.02444,0.02225,0.03313,0.03932,0.2138,0.213,
2.098,0.1271,0.1379,0.04656,0.0268,0.1227,0.117,0.02444,0.02272,0.03319,0.0388,0.2149,0.215,
2.098,0.1647,0.1373,0.04657,0.02684,0.1227,0.1166,0.0246,0.02313,0.03445,0.03707,0.2151,0.2157,
2.098,0.1653,0.1369,0.04665,0.02686,0.1227,0.1163,0.02461,0.02301,0.03592,0.03563,0.2152,0.2163,
2.097,0.1708,0.1366,0.04653,0.02697,0.1228,0.1155,0.02462,0.02315,0.03764,0.03381,0.2153,0.2172,
2.1,0.161,0.1376,0.0468,0.02701,0.123,0.1136,0.02506,0.02292,0.03917,0.03339,0.2148,0.2166,
2.1,0.2125,0.1371,0.04701,0.0271,0.1229,0.1138,0.02496,0.0231,0.04006,0.03236,0.2149,0.2167,
2.094,0.2269,0.138,0.04705,0.02721,0.1228,0.1131,0.03645,0.01205,0.03967,0.03238,0.215,0.2163,
2.092,0.2258,0.134,0.04698,0.02719,0.126,0.1124,0.03653,0.01188,0.04061,0.0313,0.2167,0.2164,
2.089,0.2086,0.1331,0.04718,0.02623,0.1258,0.1119,0.03652,0.0121,0.04274,0.02893,0.2177,0.2177,
2.099,0.1852,0.1359,0.04717,0.02633,0.1259,0.1116,0.03666,0.012,0.04278,0.03328,0.2136,0.2147,
2.098,0.1693,0.1353,0.04727,0.02632,0.125,0.1115,0.03662,0.01199,0.04297,0.033,0.2155,0.2144,
2.097,0.1675,0.1348,0.04735,0.02642,0.1249,0.1104,0.03659,0.01198,0.04328,0.03263,0.2164,0.2153,
2.101,0.1649,0.1365,0.04734,0.02617,0.1248,0.1099,0.0366,0.0122,0.0433,0.0345,0.2144,0.2144,
2.1,0.1506,0.1359,0.04741,0.02598,0.1248,0.1096,0.03676,0.01207,0.04382,0.03403,0.2145,0.2152,
2.101,0.1409,0.1374,0.04761,0.02604,0.1243,0.1083,0.03661,0.01217,0.0445,0.03378,0.215,0.2144,
2.1,0.1559,0.1367,0.04785,0.02614,0.1238,0.1082,0.03675,0.012,0.04529,0.03294,0.2152,0.2151,
2.106,0.1555,0.1351,0.04815,0.02629,0.1254,0.1078,0.03678,0.01201,0.04616,0.03485,0.2127,0.2148,
2.105,0.1653,0.1384,0.04813,0.02632,0.1253,0.1056,0.03675,0.012,0.04704,0.03391,0.2135,0.213,
2.104,0.1744,0.137,0.0482,0.02637,0.1254,0.105,0.0367,0.01198,0.04721,0.03362,0.2154,0.2132,
2.104,0.1668,0.1357,0.04821,0.02648,0.1257,0.1048,0.03661,0.012,0.04781,0.03312,0.2157,0.2139,
2.106,0.1585,0.1348,0.04845,0.02651,0.1259,0.104,0.03663,0.01257,0.04746,0.03423,0.2145,0.2149,
2.105,0.1549,0.1311,0.0484,0.0265,0.1288,0.103,0.03663,0.01257,0.04746,0.03423,0.2155,0.2158,
2.104,0.1638,0.13,0.04852,0.02653,0.129,0.1021,0.03661,0.01283,0.04754,0.03383,0.2165,0.2166,
2.104,0.1838,0.1291,0.04898,0.02654,0.1289,0.102,0.03658,0.01295,0.0476,0.03357,0.2174,0.2164,
2.107,0.1652,0.1302,0.04899,0.02662,0.1293,0.1017,0.0367,0.01317,0.04768,0.03395,0.2167,0.215,
2.106,0.1692,0.1296,0.04905,0.02665,0.1295,0.1008,0.03671,0.01318,0.0477,0.03396,0.2168,0.2159,
2.114,0.1574,0.1299,0.04905,0.02671,0.1299,0.1008,0.03683,0.01304,0.04767,0.03849,0.2132,0.2144,
2.114,0.1583,0.1294,0.04919,0.02678,0.1298,0.1003,0.03685,0.01315,0.04831,0.03779,0.2134,0.215,
2.115,0.1666,0.1285,0.04957,0.02685,0.1299,0.1004,0.037,0.01316,0.04891,0.03708,0.2135,0.2151,
2.114,0.17,0.1279,0.04972,0.02688,0.1294,0.09995,0.03719,0.0131,0.04917,0.03667,0.2145,0.2155,
2.113,0.1724,0.1258,0.04977,0.02695,0.132,0.09948,0.03769,0.01276,0.04933,0.03626,0.2154,0.2145,
2.103,0.1585,0.1244,0.04977,0.027,0.1326,0.1073,0.02884,0.01289,0.05046,0.03547,0.2159,0.2154,
2.101,0.1616,0.125,0.04989,0.02615,0.1328,0.1057,0.02913,0.01263,0.05121,0.03559,0.2153,0.2167,
2.104,0.1639,0.125,0.05004,0.02619,0.133,0.1051,0.02912,0.01295,0.05087,0.03697,0.2148,0.2159,
2.103,0.1599,0.1234,0.05015,0.02581,0.1339,0.1043,0.02928,0.01296,0.05113,0.03664,0.215,0.2174,
2.107,0.183,0.1255,0.0504,0.02586,0.1338,0.1032,0.02954,0.0132,0.05108,0.03807,0.2141,0.2152,
2.107,0.1716,0.1243,0.05069,0.02595,0.1333,0.103,0.02955,0.0134,0.05126,0.03773,0.2153,0.2156,
2.098,0.1663,0.1232,0.05093,0.02605,0.1332,0.1083,0.02328,0.01342,0.05169,0.03742,0.2156,0.217,
2.095,0.1686,0.1224,0.0509,0.02611,0.1331,0.1059,0.02344,0.01329,0.05239,0.03681,0.2158,0.2198,
2.099,0.1692,0.1234,0.05103,0.0262,0.1336,0.1017,0.02317,0.0133,0.05419,0.03876,0.2122,0.2225,
2.099,0.1767,0.1222,0.05125,0.02626,0.1338,0.1019,0.02305,0.0135,0.05403,0.03878,0.2123,0.223,
2.099,0.1894,0.1261,0.05148,0.02626,0.1337,0.1012,0.02324,0.01331,0.05637,0.03592,0.215,0.2174,
2.101,0.1741,0.1272,0.05143,0.02636,0.1345,0.09939,0.02324,0.01371,0.05595,0.03669,0.2152,0.2164,
2.095,0.1959,0.1261,0.05169,0.02643,0.1338,0.097,0.02694,0.00997,0.0562,0.03647,0.2163,0.2192,
2.095,0.1885,0.1225,0.0518,0.02657,0.1369,0.09722,0.0269,0.01003,0.05602,0.03648,0.2164,0.2192,
2.092,0.202,0.1213,0.05173,0.02666,0.1374,0.09513,0.02677,0.01003,0.0569,0.03553,0.2173,0.2212,
2.092,0.2043,0.1196,0.05219,0.02674,0.1378,0.09457,0.02678,0.01017,0.05752,0.0348,0.2174,0.2224,
2.095,0.1959,0.1221,0.05222,0.02685,0.1377,0.09419,0.02676,0.01036,0.05726,0.03583,0.2172,0.2195,
2.093,0.1822,0.1212,0.05242,0.0269,0.1375,0.09231,0.02657,0.01072,0.057,0.03553,0.2189,0.2209,
2.097,0.1838,0.1246,0.05244,0.02702,0.1376,0.09232,0.02671,0.01058,0.057,0.03655,0.2179,0.2172,
2.078,0.1772,0.124,0.05226,0.02706,0.1377,0.1035,0.0149,0.01071,0.05711,0.03624,0.2189,0.2176,
2.077,0.1659,0.1238,0.05215,0.0271,0.1378,0.1036,0.0149,0.0109,0.05847,0.03475,0.219,0.2177,
2.079,0.1804,0.1234,0.05222,0.02714,0.1378,0.103,0.01491,0.01188,0.05773,0.03453,0.219,0.2183,
2.085,0.1742,0.1254,0.052,0.02719,0.1399,0.102,0.0149,0.01187,0.05769,0.0373,0.2172,0.2145,
2.068,0.1845,0.125,0.0519,0.0272,0.1399,0.1087,0.007953,0.01191,0.0587,0.03604,0.2181,0.2146,
2.073,0.1752,0.1258,0.05178,0.02734,0.1405,0.1085,0.007958,0.01221,0.06001,0.03735,0.2154,0.213,
2.073,0.1677,0.1252,0.05188,0.02742,0.1406,0.1075,0.008097,0.01236,0.06002,0.03713,0.2155,0.2142,
2.07,0.1707,0.119,0.05187,0.02698,0.1456,0.1067,0.008099,0.01236,0.06131,0.03585,0.2167,0.2156,
2.069,0.1641,0.1186,0.05172,0.02673,0.1469,0.1048,0.01114,0.009314,0.06275,0.03535,0.2167,0.216,
2.087,0.2113,0.1171,0.05202,0.02681,0.1476,0.1041,0.01115,0.04744,0.02467,0.03537,0.2169,0.2169,
2.086,0.188,0.1164,0.0522,0.0269,0.1473,0.1026,0.01129,0.04781,0.02486,0.0348,0.2171,0.2188,
2.086,0.1951,0.1157,0.05254,0.02698,0.1468,0.1016,0.01129,0.04792,0.02634,0.03315,0.2181,0.2196,
2.085,0.1869,0.1152,0.05269,0.02705,0.1468,0.1012,0.01126,0.0478,0.02695,0.03257,0.2182,0.2203,
2.093,0.1962,0.1187,0.05249,0.02718,0.1469,0.1013,0.01144,0.04829,0.02765,0.03399,0.2156,0.2164,
2.097,0.1964,0.1223,0.05261,0.02726,0.1469,0.1002,0.01145,0.04856,0.02904,0.03353,0.2146,0.2136,
2.096,0.1897,0.1215,0.05284,0.02694,0.1467,0.1001,0.0116,0.04838,0.02902,0.03351,0.2155,0.2138,
2.094,0.1955,0.1204,0.05294,0.02664,0.1467,0.09961,0.01147,0.04856,0.02912,0.03324,0.2156,0.2157,
2.094,0.1791,0.1196,0.05311,0.02668,0.1468,0.09968,0.01148,0.04859,0.02941,0.033,0.2157,0.2159,
2.093,0.1832,0.1179,0.05327,0.02644,0.1477,0.09931,0.01163,0.04845,0.02983,0.03259,0.2157,0.2172,
2.093,0.178,0.1174,0.0533,0.0265,0.1477,0.09897,0.01181,0.04875,0.02973,0.03228,0.2159,0.2177,
2.092,0.1759,0.1157,0.05334,0.02653,0.1489,0.09888,0.0118,0.04888,0.03038,0.03139,0.2167,0.2175,
2.101,0.1774,0.12,0.05346,0.02664,0.149,0.09861,0.0118,0.0489,0.03079,0.03382,0.214,0.213,
2.1,0.1737,0.1196,0.05348,0.02667,0.1491,0.09891,0.01154,0.04892,0.03094,0.0337,0.2141,0.2131,
2.099,0.1854,0.1187,0.05355,0.02671,0.1492,0.09847,0.01154,0.04889,0.03118,0.03343,0.215,0.2133,
2.099,0.1774,0.1183,0.05359,0.02676,0.1491,0.09812,0.0114,0.04892,0.0316,0.03304,0.2151,0.214,
2.099,0.1753,0.1179,0.05374,0.02686,0.1492,0.09828,0.01154,0.04866,0.03161,0.03305,0.2152,0.214,
2.097,0.1739,0.1173,0.05363,0.02681,0.1488,0.0973,0.01166,0.04858,0.03142,0.03299,0.217,0.2145,
2.08,0.1829,0.1169,0.05363,0.02696,0.1486,0.09693,0.0118,0.06696,0.01433,0.03164,0.2171,0.2151,
2.092,0.192,0.1151,0.05359,0.02672,0.1497,0.09688,0.01904,0.0598,0.01507,0.03192,0.2169,0.2153,
2.092,0.1964,0.1145,0.05382,0.02679,0.1496,0.09672,0.01892,0.05983,0.0156,0.03141,0.217,0.2157,
2.092,0.2046,0.1136,0.05368,0.02686,0.1495,0.09638,0.01921,0.05954,0.01608,0.03093,0.2181,0.216,
2.096,0.2141,0.1149,0.0539,0.02655,0.149,0.09673,0.01905,0.05967,0.01629,0.03272,0.217,0.2142,
2.094,0.2178,0.114,0.05388,0.02621,0.1495,0.0959,0.01922,0.05994,0.0159,0.03273,0.2171,0.2156,
2.095,0.1923,0.1137,0.05396,0.0263,0.1495,0.09489,0.01922,0.05995,0.01754,0.0311,0.2171,0.2167,
2.097,0.1843,0.1156,0.05411,0.0264,0.1497,0.09404,0.01923,0.05999,0.01769,0.03168,0.2166,0.215,
2.103,0.1779,0.1145,0.05421,0.02607,0.1505,0.09407,0.01924,0.06014,0.01756,0.03518,0.2131,0.2155,
2.109,0.1977,0.1136,0.05437,0.02606,0.1502,0.09336,0.02795,0.05141,0.01739,0.03512,0.2149,0.2156,
2.108,0.198,0.1128,0.05435,0.02611,0.1504,0.09291,0.02822,0.05109,0.01738,0.03509,0.2158,0.2158,
2.11,0.2214,0.1124,0.05429,0.02616,0.1503,0.09234,0.04331,0.03617,0.01712,0.03506,0.2167,0.2161,
2.111,0.2192,0.1146,0.0545,0.02624,0.1505,0.09023,0.04534,0.03417,0.01726,0.03563,0.2161,0.2155,
2.114,0.2178,0.1172,0.05459,0.02634,0.1497,0.09034,0.04553,0.03387,0.01751,0.03658,0.2159,0.2124,
2.113,0.1821,0.1166,0.05459,0.02651,0.1498,0.08938,0.04566,0.03422,0.01707,0.0366,0.216,0.2135,
2.116,0.1866,0.116,0.05452,0.02668,0.1499,0.08858,0.04568,0.03424,0.01708,0.03856,0.2142,0.2145,
2.115,0.1854,0.1152,0.05461,0.02669,0.1501,0.08747,0.04578,0.03422,0.01693,0.03854,0.2151,0.2154,
2.114,0.1813,0.1148,0.05461,0.02674,0.1501,0.08723,0.0458,0.03461,0.01679,0.03832,0.2152,0.2158,
2.114,0.1927,0.1145,0.05476,0.02678,0.1501,0.08725,0.04581,0.03499,0.0168,0.03794,0.2153,0.2158,
2.115,0.1721,0.1136,0.05471,0.02678,0.1504,0.08742,0.0457,0.03482,0.01815,0.03656,0.2162,0.2157,
2.114,0.1942,0.1128,0.05469,0.02684,0.1504,0.08737,0.04568,0.0348,0.01855,0.03613,0.2172,0.2156,
2.113,0.1791,0.1088,0.05472,0.02679,0.1534,0.08722,0.04575,0.03485,0.01887,0.03589,0.2175,0.2162,
