RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
4650000.0,2193000.0,1285000.0,6416000.0,5725000.0,2396000.0,998000.0,1216000.0,1538000.0,9575000.0,1.02E7,
4741000.0,2189000.0,1284000.0,6400000.0,5633000.0,2396000.0,998000.0,1215000.0,1538000.0,9575000.0,1.008E7,
4760000.0,2181000.0,1280000.0,6296000.0,5561000.0,2396000.0,997700.0,1215000.0,1538000.0,9575000.0,1.008E7,
4725000.0,2163000.0,1278000.0,6207000.0,5530000.0,2395000.0,997500.0,1215000.0,1537000.0,9575000.0,1.012E7,
4692000.0,2159000.0,1275000.0,6113000.0,5434000.0,2392000.0,997400.0,1215000.0,1537000.0,9575000.0,1.022E7,
4911000.0,2154000.0,1270000.0,5979000.0,5359000.0,2391000.0,997300.0,1215000.0,1537000.0,9575000.0,1.006E7,
4946000.0,2152000.0,1270000.0,5835000.0,5337000.0,2391000.0,997200.0,1214000.0,1537000.0,9575000.0,9987000.0,
4921000.0,2141000.0,1270000.0,5739000.0,5278000.0,2391000.0,997200.0,1214000.0,1537000.0,9575000.0,1.005E7,
4948000.0,2138000.0,1269000.0,5665000.0,5235000.0,2390000.0,997100.0,1214000.0,1537000.0,9575000.0,1.002E7,
5158000.0,2137000.0,1269000.0,5620000.0,5199000.0,2390000.0,997100.0,1214000.0,1537000.0,9623000.0,9789000.0,
5276000.0,2126000.0,1269000.0,5540000.0,4848000.0,2388000.0,997000.0,1214000.0,1622000.0,9537000.0,9980000.0,
5272000.0,2125000.0,1269000.0,5540000.0,4834000.0,2388000.0,997000.0,1214000.0,1622000.0,9585000.0,9994000.0,
5267000.0,2125000.0,1269000.0,5535000.0,4725000.0,2388000.0,997000.0,1214000.0,1622000.0,9585000.0,1.01E7,
5471000.0,2124000.0,1269000.0,5525000.0,4701000.0,2388000.0,997000.0,1214000.0,1622000.0,9585000.0,9909000.0,
5467000.0,2121000.0,1266000.0,5516000.0,4653000.0,2388000.0,997000.0,1214000.0,1622000.0,9681000.0,9956000.0,
5772000.0,2121000.0,1266000.0,5516000.0,4588000.0,2388000.0,997000.0,1214000.0,1741000.0,9563000.0,9707000.0,
5753000.0,2111000.0,1265000.0,5516000.0,4587000.0,2388000.0,997000.0,1214000.0,1741000.0,9563000.0,9707000.0,
5831000.0,2104000.0,1265000.0,5516000.0,4587000.0,2388000.0,997000.0,1214000.0,1741000.0,9563000.0,9616000.0,
5821000.0,2104000.0,1255000.0,5506000.0,4556000.0,2388000.0,997000.0,1214000.0,1741000.0,9563000.0,9657000.0,
5927000.0,2104000.0,1255000.0,5491000.0,4513000.0,2388000.0,997000.0,1214000.0,1741000.0,9563000.0,9574000.0,
5892000.0,2104000.0,1255000.0,5481000.0,4488000.0,2386000.0,997000.0,1214000.0,1740000.0,9563000.0,9600000.0,
5888000.0,2104000.0,1254000.0,5471000.0,4434000.0,2386000.0,997000.0,1214000.0,1740000.0,9563000.0,9654000.0,
5908000.0,2098000.0,1232000.0,5466000.0,4395000.0,2386000.0,997000.0,1214000.0,1740000.0,9563000.0,9686000.0,
6064000.0,2093000.0,1232000.0,5466000.0,4312000.0,2386000.0,997000.0,1214000.0,1740000.0,9563000.0,9598000.0,
6059000.0,2093000.0,1231000.0,5466000.0,4297000.0,2386000.0,997000.0,1214000.0,1740000.0,9563000.0,9614000.0,
5963000.0,2085000.0,1231000.0,5461000.0,4270000.0,2385000.0,997000.0,1214000.0,1740000.0,9707000.0,9701000.0,
5933000.0,2085000.0,1217000.0,5456000.0,4252000.0,2385000.0,997000.0,1214000.0,1740000.0,9707000.0,9733000.0,
5919000.0,2085000.0,1216000.0,5456000.0,4252000.0,2385000.0,997000.0,1214000.0,1740000.0,9756000.0,9733000.0,
5970000.0,2081000.0,1201000.0,5451000.0,4234000.0,2385000.0,997000.0,1214000.0,1788000.0,9708000.0,9693000.0,
6074000.0,2081000.0,1200000.0,5441000.0,4202000.0,2385000.0,997000.0,1214000.0,1916000.0,9580000.0,9592000.0,
6158000.0,2080000.0,1200000.0,5436000.0,4202000.0,2385000.0,997000.0,1214000.0,1942000.0,9602000.0,9484000.0,
6143000.0,2083000.0,1202000.0,5431000.0,4195000.0,2391000.0,984900.0,1264000.0,1919000.0,9574000.0,9497000.0,
6115000.0,2082000.0,1205000.0,5452000.0,5449000.0,1102000.0,982400.0,1275000.0,1902000.0,9622000.0,9540000.0,
6061000.0,2087000.0,1208000.0,5478000.0,5429000.0,1102000.0,994500.0,1358000.0,1807000.0,9622000.0,9560000.0,
6025000.0,2088000.0,1200000.0,5489000.0,5417000.0,1090000.0,1005000.0,1362000.0,1871000.0,9543000.0,9597000.0,
6011000.0,2080000.0,1192000.0,5485000.0,5361000.0,1085000.0,1005000.0,1408000.0,1826000.0,9543000.0,9670000.0,
6193000.0,2079000.0,1193000.0,5489000.0,5312000.0,1091000.0,993200.0,1479000.0,1755000.0,9543000.0,9505000.0,
6155000.0,2078000.0,1196000.0,5474000.0,5220000.0,1091000.0,1014000.0,1481000.0,1732000.0,9591000.0,9597000.0,
6121000.0,2077000.0,1197000.0,5469000.0,5201000.0,1097000.0,1032000.0,1536000.0,1653000.0,9591000.0,9617000.0,
6103000.0,2079000.0,1197000.0,5469000.0,5182000.0,1097000.0,1025000.0,1601000.0,1588000.0,9591000.0,9641000.0,
6085000.0,2073000.0,1202000.0,5469000.0,5145000.0,1097000.0,1032000.0,1677000.0,1506000.0,9591000.0,9678000.0,
6136000.0,2087000.0,1204000.0,5485000.0,5066000.0,1117000.0,1022000.0,1746000.0,1489000.0,9576000.0,9659000.0,
6108000.0,2095000.0,1207000.0,5476000.0,5071000.0,1112000.0,1030000.0,1785000.0,1442000.0,9576000.0,9659000.0,
6146000.0,2095000.0,1212000.0,5471000.0,5038000.0,1624000.0,536500.0,1767000.0,1442000.0,9576000.0,9634000.0,
5982000.0,2096000.0,1214000.0,5622000.0,5014000.0,1630000.0,530100.0,1812000.0,1397000.0,9672000.0,9658000.0,
5941000.0,2106000.0,1171000.0,5617000.0,4996000.0,1630000.0,540100.0,1908000.0,1291000.0,9720000.0,9719000.0,
6061000.0,2103000.0,1174000.0,5613000.0,4979000.0,1635000.0,535300.0,1908000.0,1484000.0,9527000.0,9575000.0,
6042000.0,2111000.0,1175000.0,5583000.0,4979000.0,1635000.0,535300.0,1919000.0,1473000.0,9623000.0,9575000.0,
6021000.0,2116000.0,1180000.0,5579000.0,4932000.0,1635000.0,535300.0,1934000.0,1458000.0,9671000.0,9622000.0,
6096000.0,2115000.0,1169000.0,5574000.0,4909000.0,1635000.0,544900.0,1934000.0,1541000.0,9578000.0,9576000.0,
6066000.0,2117000.0,1160000.0,5570000.0,4891000.0,1641000.0,538900.0,1956000.0,1519000.0,9578000.0,9606000.0,
6135000.0,2126000.0,1163000.0,5549000.0,4839000.0,1635000.0,543700.0,1988000.0,1508000.0,9600000.0,9573000.0,
6098000.0,2135000.0,1166000.0,5524000.0,4826000.0,1640000.0,535300.0,2020000.0,1470000.0,9600000.0,9596000.0,
6021000.0,2146000.0,1172000.0,5590000.0,4807000.0,1640000.0,535300.0,2058000.0,1554000.0,9479000.0,9574000.0,
6174000.0,2147000.0,1174000.0,5590000.0,4711000.0,1640000.0,535300.0,2098000.0,1513000.0,9527000.0,9504000.0,
6123000.0,2153000.0,1178000.0,5601000.0,4691000.0,1640000.0,535300.0,2109000.0,1502000.0,9622000.0,9523000.0,
6055000.0,2151000.0,1182000.0,5608000.0,4678000.0,1634000.0,535300.0,2133000.0,1478000.0,9622000.0,9543000.0,
6012000.0,2161000.0,1182000.0,5616000.0,4637000.0,1634000.0,560500.0,2117000.0,1527000.0,9565000.0,9583000.0,
5846000.0,2159000.0,1182000.0,5744000.0,4594000.0,1634000.0,560400.0,2117000.0,1527000.0,9613000.0,9626000.0,
5799000.0,2165000.0,1184000.0,5757000.0,4554000.0,1634000.0,572500.0,2122000.0,1509000.0,9661000.0,9667000.0,
5765000.0,2187000.0,1185000.0,5757000.0,4554000.0,1634000.0,578500.0,2126000.0,1499000.0,9709000.0,9667000.0,
5812000.0,2187000.0,1188000.0,5771000.0,4541000.0,1638000.0,588100.0,2128000.0,1516000.0,9676000.0,9596000.0,
