cMHCIEnEr;cMHCIEnPm;cMHCIEnRabA;cMHCIEnRabB;cMHCIEnRabC;cMHCIEnRabD;cMHCIEnRabE;cMHCIEnRabF;cMHCIEnRabG;cMHCIEnRabH;cMHCIEnRabI;exCxEnEr;exCxEnPm;exCxEnRabA;exCxEnRabB;exCxEnRabC;exCxEnRabD;exCxEnRabE;exCxEnRabF;exCxEnRabG;exCxEnRabH;exCxEnRabI;imCxEnEr;imCxEnPm;imCxEnRabA;imCxEnRabB;imCxEnRabC;imCxEnRabD;imCxEnRabE;imCxEnRabF;imCxEnRabG;imCxEnRabH;imCxEnRabI;membraneMarkerEr;membraneMarkerPm;membraneMarkerRabA;membraneMarkerRabB;membraneMarkerRabC;membraneMarkerRabD;membraneMarkerRabE;membraneMarkerRabF;membraneMarkerRabG;membraneMarkerRabH;membraneMarkerRabI;mvbEr;mvbPm;mvbRabA;mvbRabB;mvbRabC;mvbRabD;mvbRabE;mvbRabF;mvbRabG;mvbRabH;mvbRabI;oMHCIEnEr;oMHCIEnPm;oMHCIEnRabA;oMHCIEnRabB;oMHCIEnRabC;oMHCIEnRabD;oMHCIEnRabE;oMHCIEnRabF;oMHCIEnRabG;oMHCIEnRabH;oMHCIEnRabI;ovaCyCy;ovaEnEr;ovaEnPm;ovaEnRabA;ovaEnRabB;ovaEnRabC;ovaEnRabD;ovaEnRabE;ovaEnRabF;ovaEnRabG;ovaEnRabH;ovaEnRabI;pepCyCy;pepEnEr;pepEnPm;pepEnRabA;pepEnRabB;pepEnRabC;pepEnRabD;pepEnRabE;pepEnRabF;pepEnRabG;pepEnRabH;pepEnRabI;pepMHCIEnEr;pepMHCIEnPm;pepMHCIEnRabA;pepMHCIEnRabB;pepMHCIEnRabC;pepMHCIEnRabD;pepMHCIEnRabE;pepMHCIEnRabF;pepMHCIEnRabG;pepMHCIEnRabH;pepMHCIEnRabI;protonCyCy;protonEnEr;protonEnPm;protonEnRabA;protonEnRabB;protonEnRabC;protonEnRabD;protonEnRabE;protonEnRabF;protonEnRabG;protonEnRabH;protonEnRabI;R-TfaEnEr;R-TfaEnPm;R-TfaEnRabA;R-TfaEnRabB;R-TfaEnRabC;R-TfaEnRabD;R-TfaEnRabE;R-TfaEnRabF;R-TfaEnRabG;R-TfaEnRabH;R-TfaEnRabI;R-TfEnPm;REnEr;REnPm;REnRabA;REnRabB;REnRabC;REnRabD;REnRabE;REnRabF;REnRabG;REnRabH;REnRabI;solubleMarkerEr;solubleMarkerPm;solubleMarkerRabA;solubleMarkerRabB;solubleMarkerRabC;solubleMarkerRabD;solubleMarkerRabE;solubleMarkerRabF;solubleMarkerRabG;solubleMarkerRabH;solubleMarkerRabI;TfaEnEr;TfaEnPm;TfaEnRabA;TfaEnRabB;TfaEnRabC;TfaEnRabD;TfaEnRabE;TfaEnRabF;TfaEnRabG;TfaEnRabH;TfaEnRabI
0.0;1393.0;186.8;138.5;64.91;0.07159;3.083;0.5663;0.3116;0.3746;0.6156;0.0;344.0;0.1077;1.797;0.08994;0.1572;0.2836;0.1136;0.05162;1.627;11.94;0.0;344.0;0.1077;1.797;0.08994;0.1572;0.2836;0.1136;0.05162;1.627;11.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;185.9;71.15;39.93;1167.0;224.4;4.838;3.404;6.583;2.216;0.0;108.7;2.867;6.098;59.1;34.48;0.6775;0.004553;0.005819;0.01764;0.1907;0.0;0.0;4800000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0E-4;0.0;0.0;99870.0;86310.0;49710.0;2,94E+10;30840.0;20340.0;26700.0;21970.0;23100.0;0.0;1.81E-37;9,83E-35;6,56E-34;4,45E-34;4,24E-35;1,30E-35;3,30E-36;1,53E-36;1,69E-23;1,45E-35;2.08E-35;0.0;0.2941;1.016;1.778;0.8056;0.1659;0.02714;0.00603;0.003031;0.004104;0.03369;0.0;0.0;3,57E-01;3,30E-01;6,05E-01;0.9966;4,71E-01;3,41E-01;7.72E-4;4,95E-02;4,70E-01;0.0;1.0E-5;0.001644;0.001916;0.00144;0.1711;0.005009;0.001035;5,41E-01;4,75E-01;2.78E-4
0.0;1393.0;178.6;139.0;68.3;0.001373;2.398;0.5667;0.3118;0.3728;0.297;0.0;344.0;0.1101;1.399;0.105;0.1565;0.2462;0.1263;0.04731;1.237;12.74;0.0;344.0;0.1101;1.399;0.105;0.1565;0.2462;0.1263;0.04731;1.237;12.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.3;73.38;40.11;1137.0;223.9;4.94;3.502;6.63;2.213;0.0;108.7;2.572;5.774;56.83;34.53;0.6721;0.004543;0.005812;0.01531;0.157;0.0;0.0;4800000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9,34E-01;0.0;157.6;90560.0;77670.0;44780.0;2,73E+10;28750.0;18950.0;24860.0;20100.0;21370.0;0.0;1,85E-34;9,16E-23;6.65E-37;4,46E-34;4,23E-35;9,96E-36;3,29E-36;1,53E-36;1,24E-36;5,47E-23;2.08E-35;0.0;0.299;0.9782;1.8;0.8085;0.1658;0.02256;0.006033;0.003033;0.002208;0.009303;0.0;0.0;3,57E-01;3,30E-01;6,05E-01;0.9966;4,71E-01;3,41E-01;7.72E-4;4,95E-02;4,70E-01;0.0;2,52E-02;0.00163;0.001906;0.001427;0.1709;0.004941;0.001035;5,42E-01;4,74E-01;2,79E-01
0.0;1381.0;190.6;139.0;70.81;0.001743;2.383;0.5672;0.3196;0.3626;0.135;0.0;344.0;0.1104;1.397;0.1072;0.1563;0.2477;0.1211;0.0481;1.294;12.68;0.0;344.0;0.1104;1.397;0.1072;0.1563;0.2477;0.1211;0.0481;1.294;12.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211.0;73.21;39.93;1050.0;223.8;4.806;3.518;6.205;2.12;0.0;105.8;3.843;5.68;54.52;34.51;0.6682;0.004477;0.005775;0.01235;0.1454;0.0;0.0;4794000.0;5808.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,86E-01;0.0;267.7;87850.0;73140.0;42290.0;2,66E+10;27730.0;18090.0;24090.0;18460.0;20350.0;0.0;1,52E-21;1,06E-34;6,62E-34;4,47E-34;4,23E-35;9,94E-24;3,29E-36;1,53E-36;1,23E-36;2,73E-23;2.08E-35;0.0;0.2472;1.019;1.8;0.8126;0.1657;0.0225;0.006035;0.003059;0.002168;0.00533;0.0;0.0;3,57E-01;3,30E-01;6,05E-01;0.9966;4,71E-01;3,41E-01;7.72E-4;4,95E-02;4,70E-01;0.0;5.13E-5;0.001621;0.001895;0.001415;0.1703;0.004903;0.001036;5,38E-01;4,70E-01;2,87E-01
0.0;1381.0;190.9;139.7;73.83;0.002237;2.363;0.5699;0.3224;0.3639;0.1412;0.0;344.0;0.1144;1.39;0.1078;0.1555;0.2289;0.1298;0.05069;1.275;12.71;0.0;344.0;0.1144;1.39;0.1078;0.1555;0.2289;0.1298;0.05069;1.275;12.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;214.2;75.03;40.45;987.4;220.1;5.575;4.289;6.378;2.331;0.0;105.8;2.454;5.619;51.5;34.47;0.6651;0.004454;0.005763;0.01216;0.1401;0.0;0.0;4794000.0;5858.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,69E-01;0.0;386.1;88650.0;72270.0;41860.0;2,69E+10;27210.0;18100.0;24350.0;18050.0;20230.0;0.0;1,52E-21;9,52E-35;6,56E-34;4,45E-34;4,22E-35;9,85E-24;3,29E-36;1,53E-36;1,23E-36;2,73E-36;2.08E-35;0.0;0.2472;1.018;1.797;0.8129;0.1656;0.02236;0.006054;0.00308;0.002176;0.005336;0.0;0.0;3,57E-01;3,30E-01;6,05E-01;0.9966;4,71E-01;3,41E-01;7.72E-4;4,95E-02;4,70E-01;0.0;9,27E-02;0.001637;0.001884;0.001417;0.1702;0.004731;0.001038;5,45E-01;4,72E-01;2,87E-01
0.0;1381.0;189.5;141.4;75.68;0.00323;2.327;0.5763;0.3287;0.367;0.1452;0.0;344.0;0.1114;1.364;0.1374;0.1555;0.2228;0.1308;0.05128;1.276;12.71;0.0;344.0;0.1114;1.364;0.1374;0.1555;0.2228;0.1308;0.05128;1.276;12.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;215.7;75.35;41.98;950.3;211.2;7.71;6.355;7.255;3.022;0.0;105.8;2.468;5.578;49.03;34.47;0.6633;0.004453;0.005762;0.0121;0.1382;7,51E-16;0.0;4794000.0;5859.0;9.575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7,55E-18;0.0;0.0;3,27E-06;1,41E-19;0.0;0.0;9,57E-20;6,16E-22;0.0;0.0;0.0;0.0;0.0;1,54E-14;7,51E-15;0.0;0.0;1,95E-32;9,95E-35;0.0;0.0;0.0;5,18E-01;0.0;490.6;90660.0;72810.0;42320.0;2,76E+10;27130.0;18470.0;24910.0;18250.0;20490.0;0.0;1,52E-21;9.19E-38;6,56E-34;4,43E-34;4,22E-35;9,71E-24;3,30E-36;1,54E-23;1.23E-39;2,73E-36;2.08E-35;0.0;0.2473;1.008;1.805;0.8134;0.1656;0.02207;0.006102;0.003127;0.002199;0.005353;0.0;0.0;3,57E-01;3,30E-01;6,05E-01;0.9966;4,71E-01;3,41E-01;7.72E-4;4,95E-02;4,70E-01;0.0;1,37E-01;0.001642;0.001883;0.001418;0.1694;0.004646;0.001046;5,43E-01;4,76E-01;2,88E-01
0.0;1373.0;193.3;141.4;75.84;0.003865;3.709;0.5808;0.3328;0.3724;0.1435;0.0;344.0;0.1112;1.585;0.1392;0.1555;0.2195;0.1348;0.04822;1.382;12.38;0.0;344.0;0.1112;1.585;0.1392;0.1555;0.2195;0.1348;0.04822;1.382;12.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.9;75.35;45.17;901.1;205.3;9.081;7.683;7.786;3.452;0.0;104.0;4.286;5.536;45.01;34.46;2.251;0.004433;0.005751;0.01213;0.1374;2,10E-15;0.0;4790000.0;9853.0;9.694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3,72E-17;0.0;2,32E-06;4,90E-18;7.21E-20;3,07E-17;6,62E-07;8,13E-05;1,46E-17;2,60E-18;2,13E-04;1,56E-15;0.0;2,53E-31;7,13E-26;1,92E-24;5,44E-25;4,22E-16;8,07E-27;1,86E-28;1,76E-28;1,96E-25;2.62E-27;4,03E-01;0.0;610.7;93980.0;74480.0;43310.0;2,88E+10;27740.0;19040.0;26000.0;18640.0;21150.0;0.0;1,35E-34;1,09E-34;6,44E-21;4,30E-34;4,22E-35;1,98E-35;3,30E-36;1,54E-36;1,81E-36;9,89E-36;2.08E-35;0.0;0.2189;1.021;1.79;0.7923;0.1656;0.03686;0.006135;0.003157;0.003122;0.01493;0.0;0.0;3,57E-01;3,30E-01;6,05E-01;0.9966;4,71E-01;3,41E-01;7.72E-4;4,95E-02;4,70E-01;0.0;1.62E-4;0.001638;0.001871;0.001407;0.1694;0.004574;0.001035;5,54E-01;4,76E-01;2,97E-01
0.0;1373.0;193.6;141.4;77.58;0.00384;4.827;0.5807;0.3328;0.3687;0.1023;0.0;344.0;0.1119;1.337;0.183;0.1582;0.2073;0.1348;0.04823;1.197;12.77;0.0;344.0;0.1119;1.337;0.183;0.1582;0.2073;0.1348;0.04823;1.197;12.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;237.5;73.78;45.78;851.9;205.3;8.976;7.613;7.597;3.382;0.0;104.0;2.625;5.505;43.69;34.46;0.6624;0.004436;0.005759;0.009949;0.1354;3,58E-15;0.0;4790000.0;9526.0;8.842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,26E-16;0.0;2,32E-06;3,17E-04;3,74E-16;2,02E-16;1,60E-16;3,37E-16;1,47E-16;1,11E-04;2,07E-16;7,48E-15;0.0;2,53E-31;1,46E-24;5,56E-11;1,23E-10;4,45E-14;2,29E-25;1,69E-14;1,47E-14;1,52E-25;2,00E-10;1,01E-01;0.0;682.0;97450.0;77830.0;45070.0;2,72E+10;27080.0;18840.0;25000.0;19010.0;20690.0;0.0;1,35E-34;9,21E-35;6,44E-21;4,32E-34;4,24E-35;1,82E-35;3,29E-36;1,53E-36;1,22E-36;3,90E-36;2.08E-35;0.0;0.2189;1.017;1.787;0.8037;0.1669;0.03453;0.006134;0.003157;0.002208;0.005509;0.0;0.0;3,59E-01;3,32E-01;6,09E-01;0.9966;4,74E-01;3,43E-01;7,77E-01;4,98E-02;4,73E-01;0.0;1,89E-01;0.001647;0.001873;0.001427;0.1678;0.004525;0.001037;5,58E-01;4,58E-01;3,19E-01
0.0;1373.0;191.2;143.6;78.28;0.003796;3.717;0.5807;0.3328;0.3684;0.1027;0.0;344.0;0.1461;1.276;0.2009;0.1584;0.203;0.1348;0.04822;1.195;12.77;0.0;344.0;0.1461;1.276;0.2009;0.1584;0.203;0.1348;0.04822;1.195;12.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;240.4;73.33;45.79;825.4;205.2;8.512;7.345;6.718;3.095;0.0;104.0;2.758;5.825;42.72;34.46;0.6629;0.004005;0.005523;0.009096;0.135;4,94E-15;0.0;4790000.0;9526.0;8.842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3,03E-16;0.0;4,29E-18;2,94E-16;1,59E-15;6.87E-19;6,24E-16;8,07E-16;4,96E-16;4,73E-04;2,33E-16;2,84E-14;0.0;2,27E-16;9,70E-11;2,39E-22;6,85E-23;2.86E-28;4,56E-25;6,70E-27;5,48E-27;2,79E-25;9,97E-11;7,21E-01;0.0;722.5;100500.0;80030.0;46050.0;2,66E+10;26630.0;16350.0;23290.0;14620.0;18900.0;0.0;1,35E-34;1,03E-34;6,32E-34;4,31E-34;4,12E-35;1,43E-35;3,28E-23;1,52E-36;1,21E-36;3,89E-23;2.08E-35;0.0;0.2189;1.022;1.778;0.8048;0.1658;0.02921;0.006126;0.003153;0.002192;0.005504;0.0;0.0;3,59E-01;3,32E-01;6,09E-01;0.9966;4,74E-01;3,43E-01;7,77E-01;4,98E-02;4,73E-01;0.0;2,00E-01;0.001682;0.001823;0.00143;0.168;0.00451;0.00102;5,50E-01;4,23E-01;3,09E-01
0.0;1373.0;190.0;143.1;56.36;0.003372;4.124;0.5943;0.3542;0.3496;0.08641;0.0;344.0;0.1332;1.15;0.2716;0.1575;0.2744;0.1321;0.04517;1.197;12.77;0.0;344.0;0.1332;1.15;0.2716;0.1575;0.2744;0.1321;0.04517;1.197;12.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;248.4;69.38;45.62;796.8;205.4;8.289;7.244;6.618;3.029;0.0;104.0;3.305;9.37;54.77;34.42;6.402;0.2265;0.2627;0.1217;0.2293;6,20E-15;0.0;4790000.0;9526.0;8.842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5,43E-16;0.0;1,49E-17;1,02E-15;3,75E-15;1,91E-15;1,39E-15;2.26E-18;1.03E-18;1,81E-16;3,91E-16;6,29E-14;0.0;9,80E-17;1,24E-21;4.48E-24;1,21E-07;6.13E-28;3,32E-21;1,53E-10;1,82E-23;5,45E-24;2,37E-22;6.18E-4;0.0;833.9;102400.0;72640.0;51160.0;2,67E+10;29680.0;16210.0;23860.0;14190.0;18810.0;0.0;1,35E-34;1,02E-21;6,13E-34;4,10E-34;4,12E-35;4,46E-35;3,88E-23;2,24E-36;1,40E-36;4.05E-39;2.08E-35;0.0;0.219;1.017;1.731;0.7799;0.1658;0.09813;0.006937;0.004136;0.00239;0.005665;0.0;0.0;3,59E-01;3,32E-01;6,09E-01;0.9966;4,74E-01;3,43E-01;7,77E-01;4,98E-02;4,73E-01;0.0;2.17E-4;0.001707;0.001741;0.001456;0.1681;0.004523;0.00102;5,55E-01;4,28E-01;3,08E-01
0.0;1364.0;205.1;140.3;71.18;0.003365;2.916;0.6246;0.3865;0.3794;0.1102;0.0;344.0;0.1812;1.123;0.3051;0.1783;0.1937;0.1328;0.1719;1.187;12.65;0.0;344.0;0.1812;1.123;0.3051;0.1783;0.1937;0.1328;0.1719;1.187;12.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;250.7;70.77;45.18;791.6;205.2;8.628;7.496;7.013;3.171;0.0;102.0;2.952;6.655;48.68;34.23;0.2597;0.004292;0.008642;0.009138;0.1351;7,44E-15;0.0;4784000.0;14740.0;8.842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8,47E-16;0.0;2,19E-17;3,50E-15;1,45E-14;4,78E-15;3,02E-15;4,17E-15;2,36E-15;4,33E-15;1,70E-14;1,53E-13;0.0;1,29E-28;3,41E-21;2,74E-07;1,64E-19;5.66E-27;1,94E-22;2.49E-26;3,12E-23;9,08E-24;4,15E-22;5,38E-01;0.0;968.0;100700.0;73760.0;49280.0;2,73E+10;29280.0;16920.0;24590.0;15030.0;19270.0;0.0;1,18E-34;1,22E-21;6,01E-34;4,29E-34;4,79E-35;8,17E-36;3,44E-36;1,77E-36;1,25E-36;3,92E-36;2.08E-35;0.0;0.1914;1.1;1.708;0.8166;0.1759;0.01834;0.006236;0.003367;0.002164;0.005475;0.0;0.0;3,59E-01;3,32E-01;6,09E-01;0.9966;4,74E-01;3,43E-01;7,77E-01;4,98E-02;4,73E-01;0.0;2,40E-01;0.00173;0.001732;0.001464;0.168;0.004507;0.001026;5,61E-01;4,44E-01;3,09E-01
