cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,1393.0,186.8,138.5,64.91,0.07159,3.083,0.5663,0.3116,0.3746,0.6156,0.0,344.0,0.1077,1.797,0.08994,0.1571,0.2836,0.1136,0.05162,1.627,11.94,0.0,344.0,0.1077,1.797,0.08994,0.1571,0.2836,0.1136,0.05162,1.627,11.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.9,71.13,39.93,1167.0,224.4,4.838,3.404,6.583,2.216,0.0,108.7,2.867,6.098,59.1,34.47,0.6775,0.004553,0.005819,0.01764,0.1907,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,99860.0,86300.0,49710.0,2.941E7,30840.0,20330.0,26700.0,21970.0,23100.0,0.0,1.81E-37,9.827E-38,6.558E-37,4.445E-37,4.237E-38,1.302E-38,3.298E-39,1.533E-39,1.6929999999999998E-39,1.451E-38,2.08E-35,0.0,0.2941,1.016,1.778,0.8056,0.1659,0.02714,0.00603,0.003031,0.004104,0.03369,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.0E-5,0.001644,0.001915,0.00144,0.1711,0.005009,0.001035,5.405E-4,4.753E-4,2.78E-4,
0.0,1393.0,184.6,132.9,67.54,0.001607,3.249,0.5683,0.3135,0.3743,0.1038,0.0,344.0,0.1316,1.277,0.1293,0.1569,0.2548,0.129,0.04767,1.24,12.8,0.0,344.0,0.1316,1.277,0.1293,0.1569,0.2548,0.129,0.04767,1.24,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.1,72.88,40.24,1105.0,221.8,5.33,3.924,6.621,2.306,0.0,108.7,2.557,5.79,56.84,34.54,0.6721,0.00454,0.00581,0.01238,0.1508,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,112.7,89700.0,78290.0,44900.0,2.728E7,28710.0,19000.0,24870.0,20130.0,21470.0,0.0,1.827E-37,9.952E-38,6.5729999999999995E-37,4.457E-37,4.237E-38,1.433E-38,3.298E-39,1.533E-39,1.243E-39,1.9669999999999997E-39,2.08E-35,0.0,0.2965,1.019,1.757,0.813,0.1659,0.02906,0.006046,0.003045,0.002211,0.002507,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,2.992E-5,0.001625,0.001904,0.00145,0.1711,0.00494,0.001044,5.4E-4,4.743E-4,2.821E-4,
0.0,1394.0,174.5,138.7,68.01,0.002206,2.637,0.6441,0.4081,0.376,0.1139,0.0,344.0,0.1279,1.22,0.185,0.1568,0.2475,0.1293,0.04768,1.241,12.8,0.0,344.0,0.1279,1.22,0.185,0.1568,0.2475,0.1293,0.04768,1.241,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.1,75.53,42.07,1032.0,216.5,6.364,4.911,6.966,2.646,0.0,108.7,2.46,5.614,55.26,34.54,0.6762,0.004513,0.005794,0.01231,0.142,0.0,0.0,4800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,294.2,86330.0,74600.0,42240.0,2.656E7,28150.0,18480.0,24220.0,19210.0,20590.0,0.0,1.849E-37,9.829E-38,6.566E-37,4.4119999999999994E-37,4.235E-38,1.2109999999999999E-38,3.577E-39,1.884E-39,1.2449999999999999E-39,1.9679999999999998E-39,2.08E-35,0.0,0.3008,0.9757,1.773,0.8093,0.1658,0.0256,0.006846,0.004047,0.002223,0.002517,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,9.273E-5,0.001616,0.001894,0.001428,0.17,0.00483,0.00105,5.375E-4,4.738E-4,2.819E-4,
0.0,1388.0,178.2,139.8,71.2,0.3274,4.907,0.6182,0.373,0.3792,0.1197,0.0,344.0,0.1206,1.227,0.1894,0.1531,0.2415,0.1312,0.04712,1.231,12.81,0.0,344.0,0.1206,1.227,0.1894,0.1531,0.2415,0.1312,0.04712,1.231,12.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.5,74.76,43.44,996.1,206.6,8.764,7.256,7.908,3.399,0.0,106.9,2.436,6.365,49.4,34.49,0.6659,0.004511,0.005792,0.01226,0.1385,0.0,0.0,4795000.0,4681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.072E-4,0.0,476.9,88590.0,75830.0,42930.0,2.678E7,27720.0,18560.0,24430.0,19050.0,20450.0,0.0,1.6479999999999999E-37,9.367E-38,6.585E-37,4.31E-37,4.339E-38,1.978E-38,3.437E-39,1.701E-39,1.251E-39,1.9719999999999998E-39,2.08E-35,0.0,0.2738,0.98,1.788,0.796,0.1666,0.03613,0.00656,0.003669,0.002246,0.002535,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.378E-4,0.001618,0.001898,0.001432,0.1699,0.004744,0.001058,5.419E-4,4.761E-4,2.834E-4,
0.0,1388.0,177.1,141.2,81.93,0.003613,2.607,0.6549,0.4199,0.375,0.1237,0.0,344.0,0.1382,1.176,0.2289,0.152,0.2337,0.1354,0.05382,0.5786,13.45,0.0,344.0,0.1382,1.176,0.2289,0.152,0.2337,0.1354,0.05382,0.5786,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.7,75.46,45.17,955.4,204.5,9.213,7.663,8.053,3.573,0.0,106.9,2.44,6.495,40.3,34.59,0.6633,0.004534,0.006439,0.01225,0.1369,0.0,0.0,4795000.0,4681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.296E-4,0.0,548.5,90660.0,75990.0,43710.0,2.759E7,27640.0,18790.0,25240.0,18790.0,20660.0,0.0,1.6479999999999999E-37,1.0829999999999999E-37,6.4509999999999995E-37,4.321E-37,4.264E-38,1.175E-38,3.553E-39,1.8509999999999998E-39,1.242E-39,1.9719999999999998E-39,2.08E-35,0.0,0.2739,0.9828,1.784,0.8038,0.1657,0.02523,0.006796,0.003957,0.002247,0.002546,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.663E-4,0.001628,0.001895,0.001436,0.17,0.00465,0.001057,5.465E-4,4.725E-4,2.869E-4,
0.0,1388.0,173.5,124.0,81.79,0.01362,5.845,0.6223,0.3777,0.3772,0.1228,0.0,344.0,0.118,1.152,0.2759,0.1539,0.2205,0.1334,0.04603,1.068,12.97,0.0,344.0,0.118,1.152,0.2759,0.1539,0.2205,0.1334,0.04603,1.068,12.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.6,72.46,46.98,897.0,204.5,9.157,7.871,7.791,3.442,0.0,106.9,4.013,24.78,39.95,32.73,0.6623,0.004492,0.006368,0.01212,0.1364,0.0,0.0,4795000.0,4681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.862E-4,0.0,565.6,94350.0,87340.0,44950.0,2.863E7,28000.0,18660.0,26100.0,17730.0,20780.0,0.0,1.651E-37,9.459E-38,6.484999999999999E-37,4.337E-37,4.439E-38,1.413E-38,3.2869999999999996E-39,1.5309999999999998E-39,1.241E-39,1.965E-39,2.08E-35,0.0,0.2743,0.9532,1.795,0.7981,0.1721,0.04206,0.006356,0.00342,0.002256,0.00254,0.0,0.0,3.565E-4,3.296E-4,6.052E-4,0.9966,4.709E-4,3.414E-4,7.72E-4,4.953E-5,4.702E-4,0.0,1.693E-4,0.001631,0.001892,0.001447,0.1696,0.004646,0.001056,5.463E-4,4.724E-4,2.849E-4,
0.0,1388.0,173.6,125.8,89.77,0.005646,2.668,0.6328,0.3906,0.3772,0.123,0.0,344.0,0.1179,1.151,0.291,0.1525,0.1984,0.1334,0.04602,0.5731,13.47,0.0,344.0,0.1179,1.151,0.291,0.1525,0.1984,0.1334,0.04602,0.5731,13.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.7,73.92,44.58,884.1,204.5,9.095,7.885,7.681,3.401,0.0,106.9,3.823,22.14,36.43,32.36,0.6623,0.004493,0.006287,0.01208,0.1362,0.0,0.0,4795000.0,4681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011E-4,0.0,668.1,97910.0,87660.0,45050.0,2.907E7,28270.0,18770.0,26520.0,17530.0,20970.0,0.0,1.654E-37,9.453E-38,6.46E-37,4.359E-37,4.4049999999999997E-38,1.028E-38,3.281E-39,1.526E-39,1.235E-39,1.961E-39,2.08E-35,0.0,0.2748,0.9529,1.793,0.818,0.1713,0.02411,0.006407,0.003482,0.002256,0.00254,0.0,0.0,3.581E-4,3.311E-4,6.079E-4,0.9966,4.73E-4,3.429E-4,7.755E-4,4.976E-5,4.723E-4,0.0,1.83E-4,0.001633,0.001903,0.001433,0.1683,0.00463,0.001055,5.457E-4,4.721E-4,2.847E-4,
0.0,1388.0,172.8,126.7,97.36,0.005163,2.498,0.5439,0.2836,0.3506,0.4484,0.0,344.0,0.1191,1.141,0.3107,0.1559,0.1873,0.1315,0.0433,0.5782,13.45,0.0,344.0,0.1191,1.141,0.3107,0.1559,0.1873,0.1315,0.0433,0.5782,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.3,73.63,45.41,853.1,204.5,9.008,7.782,7.641,3.478,0.0,106.9,3.708,21.67,27.34,32.63,0.6595,0.004522,0.006371,0.01194,0.1112,0.0,0.0,4795000.0,4681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,760.5,100600.0,86230.0,47540.0,2.73E7,27680.0,18030.0,25090.0,17060.0,19750.0,0.0,1.654E-37,9.531E-38,6.394E-37,4.323E-37,4.185E-38,1.007E-38,3.028E-39,1.217E-39,1.1909999999999999E-39,6.243E-39,2.08E-35,0.0,0.2774,0.9504,1.779,0.817,0.1722,0.02328,0.005746,0.002674,0.002102,0.009491,0.0,0.0,3.581E-4,3.311E-4,6.079E-4,0.9966,4.73E-4,3.429E-4,7.755E-4,4.976E-5,4.723E-4,0.0,2.04E-4,0.001632,0.001865,0.00144,0.1675,0.004607,0.001062,5.452E-4,4.677E-4,2.893E-4,
0.0,1390.0,166.8,132.5,95.7,0.004867,2.484,0.5437,0.288,0.3461,0.101,0.0,344.0,0.1278,1.146,0.3189,0.1198,0.1824,0.1316,0.04556,0.5759,13.46,0.0,344.0,0.1278,1.146,0.3189,0.1198,0.1824,0.1316,0.04556,0.5759,13.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.2,75.04,42.79,849.7,203.4,8.983,7.733,7.513,3.405,0.0,108.8,6.575,17.77,35.33,23.7,0.5391,0.004381,0.00664,0.01183,0.00815,0.0,0.0,4795000.0,4681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.264E-4,0.0,1313.0,90840.0,104800.0,49390.0,2.593E7,18820.0,16340.0,26720.0,16980.0,31670.0,0.0,1.742E-37,9.897E-38,6.534E-37,4.223E-37,2.784E-38,9.580999999999999E-39,3.0259999999999996E-39,1.207E-39,1.1839999999999999E-39,2.447E-40,2.08E-35,0.0,0.2907,0.9386,1.817,0.8076,0.1468,0.02249,0.005747,0.002662,0.002093,5.529E-4,0.0,0.0,1.691E-5,8.718E-4,8.842E-4,0.9958,2.347E-4,2.787E-4,8.978E-4,4.044E-5,0.001019,0.0,2.315E-4,0.00159,0.001953,0.001437,0.1661,0.004533,0.001052,5.635E-4,4.62E-4,3.637E-4,
0.0,1376.0,184.2,128.0,76.72,0.004827,4.372,0.6013,0.2968,0.4282,0.4164,0.0,344.1,0.1388,1.168,0.3401,0.1173,0.1849,0.1319,0.04921,0.6345,13.3,0.0,344.1,0.1388,1.168,0.3401,0.1173,0.1849,0.1319,0.04921,0.6345,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.2,84.95,53.55,838.9,206.7,8.289,7.482,7.301,3.417,0.0,105.9,11.01,32.5,31.78,23.55,0.5327,0.004586,0.006778,0.01153,0.008452,0.0,0.0,4786000.0,14140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,1623.0,87090.0,99060.0,51570.0,2.479E7,18940.0,16590.0,27750.0,16760.0,32880.0,0.0,1.417E-37,1.675E-37,6.27E-37,3.771E-37,2.768E-38,2.0639999999999999E-38,2.261E-39,1.0109999999999999E-39,1.494E-39,3.183E-39,2.08E-35,0.0,0.2358,1.032,1.756,0.7684,0.1465,0.03685,0.005139,0.002488,0.003661,0.009969,0.0,0.0,1.874E-5,9.664E-4,9.801E-4,0.9953,2.602E-4,3.089E-4,9.952E-4,4.482E-5,0.00113,0.0,2.367E-4,0.001554,0.001982,0.001446,0.163,0.004558,0.001056,5.718E-4,4.631E-4,3.794E-4,
