RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
9128000.0,2654000.0,1522000.0,7340000.0,4168000.0,944600.0,1821000.0,2826000.0,1741000.0,9700000.0,9764000.0,
9038000.0,2649000.0,1517000.0,7204000.0,4133000.0,944500.0,1821000.0,2826000.0,1807000.0,9634000.0,9708000.0,
9049000.0,2637000.0,1512000.0,7105000.0,4097000.0,944400.0,1821000.0,2826000.0,1877000.0,9564000.0,9509000.0,
8871000.0,2632000.0,1512000.0,7037000.0,4084000.0,944400.0,1820000.0,2826000.0,1876000.0,9564000.0,9522000.0,
8605000.0,2622000.0,1511000.0,6924000.0,4083000.0,944200.0,1820000.0,2826000.0,1876000.0,9564000.0,9522000.0,
8473000.0,2617000.0,1510000.0,6866000.0,4083000.0,944100.0,1820000.0,2826000.0,1876000.0,9564000.0,9522000.0,
8329000.0,2600000.0,1506000.0,6760000.0,4024000.0,943900.0,1820000.0,2825000.0,1876000.0,9612000.0,9581000.0,
8057000.0,2592000.0,1503000.0,6675000.0,4024000.0,943700.0,1819000.0,2825000.0,1876000.0,9660000.0,9599000.0,
7887000.0,2592000.0,1483000.0,6636000.0,4011000.0,943700.0,1819000.0,2825000.0,1876000.0,9709000.0,9651000.0,
7806000.0,2564000.0,1480000.0,6602000.0,3986000.0,943600.0,1819000.0,2825000.0,1876000.0,9709000.0,9676000.0,
7674000.0,2561000.0,1466000.0,6582000.0,3918000.0,943600.0,1819000.0,2825000.0,1875000.0,9709000.0,9757000.0,
7664000.0,2555000.0,1449000.0,6582000.0,3829000.0,943600.0,1819000.0,2825000.0,1875000.0,9709000.0,9863000.0,
7636000.0,2553000.0,1449000.0,6582000.0,3816000.0,943600.0,1819000.0,2825000.0,1875000.0,9709000.0,9876000.0,
7631000.0,2553000.0,1434000.0,6582000.0,3778000.0,943600.0,1819000.0,2825000.0,1875000.0,9757000.0,9928000.0,
7613000.0,2552000.0,1434000.0,6577000.0,3602000.0,943600.0,1819000.0,2825000.0,1873000.0,9806000.0,1.012E7,
7559000.0,2548000.0,1434000.0,6565000.0,3529000.0,943600.0,1819000.0,2825000.0,1872000.0,9806000.0,1.022E7,
7531000.0,2546000.0,1434000.0,6560000.0,3514000.0,943500.0,1819000.0,2825000.0,1872000.0,9855000.0,1.024E7,
7655000.0,2535000.0,1433000.0,6555000.0,3484000.0,943500.0,1819000.0,2825000.0,2065000.0,9761000.0,1.013E7,
7637000.0,2524000.0,1433000.0,6550000.0,3484000.0,943500.0,1819000.0,2825000.0,2065000.0,9761000.0,1.013E7,
7621000.0,2514000.0,1431000.0,6549000.0,3413000.0,943500.0,1819000.0,2825000.0,2065000.0,9810000.0,1.02E7,
7806000.0,2512000.0,1411000.0,6543000.0,3401000.0,943500.0,1819000.0,2825000.0,2089000.0,9835000.0,1.004E7,
7881000.0,2504000.0,1411000.0,6538000.0,3378000.0,943500.0,1819000.0,2825000.0,2237000.0,9687000.0,9972000.0,
7869000.0,2499000.0,1409000.0,6538000.0,3343000.0,943500.0,1819000.0,2825000.0,2237000.0,9784000.0,1.001E7,
7828000.0,2497000.0,1409000.0,6536000.0,3323000.0,943500.0,1819000.0,2825000.0,2237000.0,9784000.0,1.003E7,
7973000.0,2497000.0,1409000.0,6531000.0,3306000.0,943500.0,1819000.0,2825000.0,2317000.0,9704000.0,9889000.0,
8021000.0,2477000.0,1409000.0,6531000.0,3289000.0,943500.0,1819000.0,2825000.0,2390000.0,9728000.0,9828000.0,
8028000.0,2468000.0,1408000.0,6516000.0,3266000.0,943500.0,1819000.0,2825000.0,2474000.0,9693000.0,9807000.0,
7984000.0,2461000.0,1407000.0,6503000.0,3266000.0,943500.0,1819000.0,2825000.0,2474000.0,9790000.0,9807000.0,
8057000.0,2456000.0,1407000.0,6503000.0,3266000.0,943500.0,1819000.0,2825000.0,2528000.0,9736000.0,9715000.0,
8046000.0,2442000.0,1407000.0,6483000.0,3266000.0,943500.0,1818000.0,2824000.0,2528000.0,9736000.0,9715000.0,
8116000.0,2439000.0,1407000.0,6483000.0,3266000.0,943500.0,1818000.0,2835000.0,2576000.0,9774000.0,9628000.0,
8061000.0,2448000.0,1409000.0,6502000.0,3272000.0,1013000.0,1752000.0,2923000.0,2480000.0,9774000.0,9628000.0,
8038000.0,2457000.0,1414000.0,6497000.0,3238000.0,1033000.0,1746000.0,3012000.0,2376000.0,9774000.0,9661000.0,
7959000.0,2467000.0,1418000.0,6526000.0,3184000.0,1041000.0,1745000.0,3040000.0,2342000.0,9872000.0,9716000.0,
7896000.0,2502000.0,1423000.0,6520000.0,3126000.0,1041000.0,1751000.0,3045000.0,2331000.0,9971000.0,9773000.0,
7831000.0,2500000.0,1428000.0,6688000.0,3087000.0,1655000.0,1137000.0,3076000.0,2365000.0,9906000.0,9682000.0,
