R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.1E-39,0.014,1900.0,4700.0,4700.0,3899999.9999999995,3500.0,3800.0,1100.0,7300.0,2700.0,0.16,3899999.9999999995,0.0,3.8E-5,0.033,0.033,0.0,520.0,8.8,0.0,0.0,0.0,0.0,2.0E7,1.0,7.4E8,
1.1E-39,0.014,1900.0,4700.0,4700.0,3899999.9999999995,3500.0,3800.0,1100.0,7300.0,2700.0,0.16,3899999.9999999995,0.0,4.1E-5,0.033,0.033,0.0,490.0,8.8,0.0,0.0,0.0,0.0,1.9E7,1.0,7.4E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3899999.9999999995,3500.0,3800.0,1100.0,7300.0,2700.0,0.16,3899999.9999999995,0.0,4.4E-5,0.033,0.033,0.0,490.0,8.8,0.0,5.1E-28,7.799999999999999E-39,0.0,1.8E7,1.0,7.3E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3899999.9999999995,3500.0,3800.0,1100.0,7200.0,2700.0,0.16,3899999.9999999995,0.0,4.3E-5,0.033,0.033,0.0,450.0,8.7,0.0,2.5E-27,6.9E-38,0.0,1.8E7,1.0,7.2E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3899999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.16,3899999.9999999995,0.0,3.9E-5,0.033,0.033,0.0,420.0,8.7,0.0,5.8E-27,1.9E-37,0.0,1.9E7,1.0,7.2E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3899999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.16,3899999.9999999995,0.0,3.3E-5,0.033,0.033,0.0,410.0,8.7,0.0,1.0E-26,3.5E-37,0.0,2.0E7,1.0,7.2E8,
1.1E-39,0.014,1800.0,4700.0,4600.0,3899999.9999999995,3400.0,3800.0,1100.0,7200.0,2700.0,0.16,3899999.9999999995,0.0,2.8E-5,0.033,0.033,0.0,380.0,8.7,0.0,1.6E-26,5.1E-37,0.0,2.2E7,1.0,7.2E8,
5.4E-39,0.07,4200.0,92000.0,420.0,5000000.0,3400.0,3700.0,1100.0,7200.0,2600.0,0.16,5200000.0,0.0,2.1E-5,0.075,0.075,0.0,480.0,6.6,0.0,1.2E-24,1.6999999999999998E-31,0.0,2.2E7,1.0,7.4E8,
1.3999999999999999E-39,0.018,4100.0,19000.0,410.0,5000000.0,3400.0,3700.0,1100.0,7100.0,2600.0,0.16,5000000.0,0.0,2.4E-5,0.042,0.042,0.0,460.0,6.5,0.0,2.9E-24,1.6E-32,0.0,2.1E7,1.0,7.4E8,
3.6E-40,0.0047,4100.0,1600.0,400.0,4600000.0,3300.0,3600.0,1100.0,7000.0,2600.0,0.15,4700000.0,0.0,2.5E-5,0.033,0.033,0.0,460.0,6.1,0.0,4.2999999999999996E-24,2.4E-33,0.0,2.0E7,1.0,7.4E8,
