entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.137,0.1367,0.1769,0.05143,0.02949,0.1422,0.08076,0.0183,0.03529,0.05476,0.03373,0.188,0.1892,
2.138,0.139,0.1741,0.05156,0.02955,0.1421,0.0805,0.01836,0.03539,0.05492,0.03383,0.1895,0.1902,
2.138,0.1461,0.1723,0.05131,0.02963,0.142,0.08079,0.01842,0.03551,0.05511,0.03395,0.1901,0.1909,
2.141,0.1335,0.1717,0.0512,0.02974,0.1412,0.08112,0.01849,0.03565,0.05534,0.03502,0.19,0.1905,
2.145,0.1641,0.1729,0.05129,0.02984,0.1408,0.08118,0.01856,0.03578,0.05554,0.03679,0.1891,0.1883,
2.145,0.157,0.1711,0.05117,0.0299,0.1407,0.08137,0.01861,0.03587,0.05568,0.03688,0.1895,0.1892,
2.145,0.157,0.1695,0.05118,0.02938,0.1396,0.08152,0.01866,0.03596,0.05582,0.03698,0.191,0.1904,
2.146,0.148,0.1703,0.05105,0.02944,0.1382,0.08179,0.01872,0.03607,0.056,0.03751,0.1912,0.1897,
2.148,0.1369,0.1676,0.05072,0.02951,0.1369,0.08174,0.01881,0.03624,0.05627,0.03889,0.1919,0.1915,
2.149,0.1386,0.166,0.05093,0.02963,0.1356,0.08208,0.01889,0.03639,0.0565,0.03905,0.1927,0.1923,
2.149,0.1144,0.164,0.05098,0.0297,0.134,0.08183,0.01893,0.03647,0.05664,0.03914,0.1951,0.1932,
2.148,0.1143,0.1634,0.05067,0.02963,0.1338,0.08173,0.01891,0.03643,0.05656,0.03909,0.1968,0.1929,
2.147,0.1219,0.1626,0.05061,0.0296,0.1335,0.08163,0.01888,0.03638,0.0565,0.03905,0.1985,0.1927,
2.147,0.123,0.1617,0.0506,0.02956,0.1335,0.0817,0.0189,0.03641,0.05654,0.03908,0.1987,0.1933,
2.147,0.1268,0.1613,0.05062,0.02957,0.1336,0.08137,0.01891,0.03643,0.05657,0.03909,0.1988,0.1938,
