bead1Er,bead1Pm,bead1RabA,bead1RabB,bead1RabC,bead1RabD,bead1RabE,bead1RabF,bead1RabG,bead1RabH,bead1RabI,cMHCIEnEr,cMHCIEnPm,cMHCIEnRabA,cMHCIEnRabB,cMHCIEnRabC,cMHCIEnRabD,cMHCIEnRabE,cMHCIEnRabF,cMHCIEnRabG,cMHCIEnRabH,cMHCIEnRabI,exCxEnEr,exCxEnPm,exCxEnRabA,exCxEnRabB,exCxEnRabC,exCxEnRabD,exCxEnRabE,exCxEnRabF,exCxEnRabG,exCxEnRabH,exCxEnRabI,imCxEnEr,imCxEnPm,imCxEnRabA,imCxEnRabB,imCxEnRabC,imCxEnRabD,imCxEnRabE,imCxEnRabF,imCxEnRabG,imCxEnRabH,imCxEnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,oMHCIEnEr,oMHCIEnPm,oMHCIEnRabA,oMHCIEnRabB,oMHCIEnRabC,oMHCIEnRabD,oMHCIEnRabE,oMHCIEnRabF,oMHCIEnRabG,oMHCIEnRabH,oMHCIEnRabI,ovaCyCy,ovaEnEr,ovaEnPm,ovaEnRabA,ovaEnRabB,ovaEnRabC,ovaEnRabD,ovaEnRabE,ovaEnRabF,ovaEnRabG,ovaEnRabH,ovaEnRabI,pepCyCy,pepEnEr,pepEnPm,pepEnRabA,pepEnRabB,pepEnRabC,pepEnRabD,pepEnRabE,pepEnRabF,pepEnRabG,pepEnRabH,pepEnRabI,pepMHCIEnEr,pepMHCIEnPm,pepMHCIEnRabA,pepMHCIEnRabB,pepMHCIEnRabC,pepMHCIEnRabD,pepMHCIEnRabE,pepMHCIEnRabF,pepMHCIEnRabG,pepMHCIEnRabH,pepMHCIEnRabI,povaEnEr,povaEnPm,povaEnRabA,povaEnRabB,povaEnRabC,povaEnRabD,povaEnRabE,povaEnRabF,povaEnRabG,povaEnRabH,povaEnRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,R-TfaEnEr,R-TfaEnPm,R-TfaEnRabA,R-TfaEnRabB,R-TfaEnRabC,R-TfaEnRabD,R-TfaEnRabE,R-TfaEnRabF,R-TfaEnRabG,R-TfaEnRabH,R-TfaEnRabI,R-TfEnPm,REnEr,REnPm,REnRabA,REnRabB,REnRabC,REnRabD,REnRabE,REnRabF,REnRabG,REnRabH,REnRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfaEnEr,TfaEnPm,TfaEnRabA,TfaEnRabB,TfaEnRabC,TfaEnRabD,TfaEnRabE,TfaEnRabF,TfaEnRabG,TfaEnRabH,TfaEnRabI,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,152.8,164.4,120.8,0.0565,3.255,0.439,0.823,1.66,0.1361,0.0,344.3,0.1534,1.718,0.1178,0.1461,0.2416,0.451,0.6194,1.937,10.15,0.0,344.3,0.1534,1.718,0.1178,0.1461,0.2416,0.451,0.6194,1.937,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.7,103.6,26.73,1021.0,4.297,3.457,5.072,189.1,3.033,0.0,146.5,9.497,8.09,20.13,38.91,0.1905,0.02858,0.1568,0.1353,0.07641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,0.0,2235000.0,104600.0,67930.0,2.347E7,40280.0,33710.0,34560.0,62350.0,29320.0,0.0,2.93E-38,2.034E-38,9.472E-38,7.546E-38,6.447E-39,1.419E-39,2.489E-40,6.362E-40,1.597E-39,1.852E-40,2.08E-35,0.0,0.3659,0.8234,1.581,0.9682,0.09439,0.01884,0.002305,0.005194,0.009556,0.001816,0.0,0.0,4.709E-4,0.001204,0.001181,0.9925,8.841E-4,9.671E-4,2.826E-4,0.001855,6.805E-4,0.0,1.0E-5,0.0177,0.0019,0.001752,0.1758,0.003361,5.653E-4,8.042E-4,0.001632,3.021E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.0,155.4,164.1,121.3,0.5813,4.412,0.4342,0.8277,1.668,0.1409,0.0,344.3,0.1455,1.701,0.161,0.1472,0.7888,0.1453,0.5492,1.847,10.04,0.0,344.3,0.1455,1.701,0.161,0.1472,0.7888,0.1453,0.5492,1.847,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.0,98.72,30.66,971.7,4.736,3.334,4.906,189.0,2.931,0.0,145.3,9.448,7.284,15.92,38.61,0.1923,0.0282,0.1516,0.1288,0.07561,1.8820000000000002E-25,0.0,0.0,1.13E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.802E-27,0.0,1.231E-29,6.1910000000000005E-28,3.9380000000000003E-28,4.342E-29,9.005999999999999E-29,7.693E-29,5.399999999999999E-29,4.098E-27,7.252E-29,1.206E-26,0.0,2.6809999999999998E-37,1.531E-36,2.6860000000000003E-36,4.6429999999999996E-37,2.907E-40,1.3609999999999999E-37,9.922999999999998E-41,5.0789999999999997E-39,4.702E-41,2.303E-37,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,118.8,1902000.0,96400.0,63490.0,2.241E7,37740.0,31460.0,30950.0,59070.0,27420.0,0.0,2.841E-38,2.056E-38,9.425E-38,7.262E-38,6.945E-39,2.639E-39,2.49E-40,6.395E-40,1.6E-39,1.875E-40,2.08E-35,0.0,0.3655,0.8328,1.567,0.943,0.1009,0.03286,0.0023,0.005243,0.009618,0.001896,0.0,0.0,4.709E-4,0.001204,0.001181,0.9925,8.841E-4,9.671E-4,2.826E-4,0.001855,6.805E-4,0.0,3.377E-5,0.01769,0.001892,0.001739,0.1752,0.003349,5.656E-4,8.02E-4,0.001631,3.01E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,154.0,163.3,123.2,0.09352,3.702,0.4336,0.8325,1.686,0.1546,0.0,344.3,0.1417,1.767,0.3268,0.1456,0.4609,0.161,0.5062,1.923,10.09,0.0,344.3,0.1417,1.767,0.3268,0.1456,0.4609,0.161,0.5062,1.923,10.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,103.7,25.87,918.7,5.078,3.216,4.756,188.9,2.836,0.0,144.6,10.41,7.525,15.16,38.76,0.2945,0.0281,0.1493,0.1252,0.07548,4.855E-25,0.0,0.0,1.83E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.567E-27,0.0,3.9829999999999996E-29,5.58E-27,2.193E-26,2.3550000000000002E-26,3.8889999999999996E-27,3.039E-26,4.892E-27,4.365E-26,6.715E-27,1.199E-25,0.0,2.6789999999999997E-37,9.846E-34,7.164E-33,1.438E-32,2.6610000000000003E-34,1.0080000000000001E-34,1.71E-38,1.35E-36,1.547E-36,5.007E-36,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58E-4,0.0,197.6,1734000.0,93240.0,60460.0,2.25E7,37070.0,30880.0,29540.0,58720.0,26920.0,0.0,2.757E-38,1.957E-38,9.348E-38,7.419E-38,6.748E-39,1.562E-39,2.483E-40,6.579E-40,1.609E-39,2.066E-40,2.08E-35,0.0,0.3546,0.8225,1.561,0.9612,0.09851,0.02264,0.002297,0.005376,0.009817,0.002129,0.0,0.0,4.709E-4,0.001204,0.001181,0.9925,8.841E-4,9.671E-4,2.826E-4,0.001855,6.805E-4,0.0,4.212E-5,0.01767,0.001909,0.001714,0.1752,0.003343,5.657E-4,8.084E-4,0.001624,3.013E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.0,159.2,170.2,124.1,0.07215,3.691,0.4412,0.8337,1.688,0.1552,0.0,344.3,0.1396,1.759,0.3359,0.1445,0.4627,0.1588,0.5075,1.923,10.09,0.0,344.3,0.1396,1.759,0.3359,0.1445,0.4627,0.1588,0.5075,1.923,10.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.3,98.86,25.7,880.9,4.999,3.124,4.647,188.8,2.762,0.0,141.5,10.44,7.253,13.99,38.63,0.3007,0.02016,0.1475,0.1232,0.07526,7.873000000000001E-25,0.0,0.0,2.265E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0130000000000001E-26,0.0,3.979E-29,4.2270000000000004E-26,7.25E-26,9.840000000000001E-26,1.534E-26,1.592E-25,1.475E-26,1.591E-25,2.1040000000000002E-26,3.721E-25,0.0,2.6599999999999998E-37,7.452999999999999E-33,2.818E-32,1.1230000000000001E-31,1.7429999999999998E-33,6.756E-34,5.269E-37,1.1190000000000001E-35,1.309E-35,2.669E-35,0.0,0.0,9707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,222.5,1585000.0,92350.0,60220.0,2.318E7,37120.0,30720.0,28470.0,59900.0,26850.0,0.0,2.373E-38,1.948E-38,9.322E-38,7.399E-38,6.726E-39,1.556E-39,2.481E-40,6.55E-40,1.604E-39,1.997E-40,2.08E-35,0.0,0.3052,0.8373,1.594,0.9589,0.09831,0.02263,0.002297,0.005376,0.009816,0.002128,0.0,0.0,4.709E-4,0.001204,0.001181,0.9925,8.841E-4,9.671E-4,2.826E-4,0.001855,6.805E-4,0.0,4.208E-5,0.0172,0.001909,0.001712,0.1747,0.003338,5.594E-4,8.059E-4,0.001623,2.994E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.0,158.2,163.4,117.4,0.07828,3.693,0.4413,0.884,1.75,0.2338,0.0,344.3,0.1399,1.75,0.4912,0.1443,0.3069,0.1588,0.5091,1.924,10.09,0.0,344.3,0.1399,1.75,0.4912,0.1443,0.3069,0.1588,0.5091,1.924,10.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.2,99.09,25.58,874.3,4.91,3.06,4.5,188.7,2.707,0.0,141.5,10.62,7.517,26.42,38.51,0.3028,0.01999,0.1461,0.1219,0.0751,1.436E-24,0.0,0.0,3.072E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.984E-26,0.0,3.979E-29,2.004E-25,2.101E-25,2.883E-25,4.859E-26,3.056E-25,4.3340000000000005E-26,5.089E-25,7.916000000000001E-26,7.217000000000001E-25,0.0,2.6599999999999998E-37,2.661E-32,1.0950000000000001E-31,4.849E-31,1.068E-32,1.535E-33,1.522E-36,1.6360000000000002E-35,1.697E-35,4.315E-35,0.0,0.0,9420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.378E-4,0.0,242.6,1411000.0,91090.0,59840.0,2.243E7,36250.0,29880.0,27960.0,58640.0,26400.0,0.0,2.373E-38,1.942E-38,9.309E-38,7.326E-38,6.918999999999999E-39,1.479E-39,2.477E-40,6.871E-40,1.6439999999999998E-39,2.49E-40,2.08E-35,0.0,0.3052,0.8322,1.579,0.9654,0.1041,0.02184,0.002297,0.005625,0.01013,0.002521,0.0,0.0,4.718E-4,0.001206,0.001184,0.9925,8.858E-4,9.69E-4,2.831E-4,0.001858,6.818E-4,0.0,4.817E-5,0.01675,0.001912,0.0017,0.1722,0.003327,5.571E-4,8.045E-4,0.001618,2.985E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.0,159.8,159.7,122.8,0.05458,3.666,0.4398,0.8858,1.775,0.2334,0.0,344.3,0.1519,1.724,0.5065,0.1429,0.3043,0.1592,0.511,1.724,10.29,0.0,344.3,0.1519,1.724,0.5065,0.1429,0.3043,0.1592,0.511,1.724,10.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.8,97.1,25.23,861.1,3.924,2.141,4.433,195.5,1.786,0.0,141.5,11.44,7.231,22.52,38.26,0.3026,0.01972,0.1436,0.1199,0.07482,2.57E-24,0.0,0.0,3.862E-4,7.698E-8,1.004E-8,0.0,0.0,0.0,0.0,0.0,0.0,6.333000000000001E-26,0.0,9.908000000000001E-28,6.373E-25,5.863E-25,6.746E-25,1.13E-25,4.928E-25,9.623E-26,1.0099999999999999E-24,2.421E-25,1.37E-24,0.0,2.89E-37,1.9280000000000002E-31,5.342E-31,1.834E-30,1.478E-32,2.843E-33,3.9800000000000004E-36,2.014E-34,2.466E-34,3.442E-34,0.0,0.0,8354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53E-4,0.0,300.5,1126000.0,91500.0,59220.0,2.156E7,35490.0,29090.0,27780.0,57550.0,25990.0,0.0,2.373E-38,1.991E-38,9.288E-38,7.24E-38,6.824999999999999E-39,1.4669999999999999E-39,2.44E-40,6.844E-40,1.664E-39,2.414E-40,2.08E-35,0.0,0.3052,0.8486,1.557,0.9727,0.1024,0.02174,0.002288,0.00563,0.01024,0.002518,0.0,0.0,4.767E-4,0.001219,0.001196,0.9924,8.95E-4,9.791E-4,2.861E-4,0.001877,6.889E-4,0.0,6.487E-5,0.01511,0.001893,0.001689,0.1695,0.003283,5.555E-4,8.068E-4,0.001624,3.001E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.0,153.4,151.8,121.3,0.09114,7.962,0.4406,0.8243,1.701,0.1396,0.0,344.4,0.2986,1.775,0.223,0.2052,0.3045,0.1544,0.4947,1.685,10.31,0.0,344.4,0.2986,1.775,0.223,0.2052,0.3045,0.1544,0.4947,1.685,10.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885.8,90.33,32.22,840.5,10.16,2.104,4.087,196.5,2.372,0.0,141.5,15.32,12.14,14.58,39.94,5.992,0.2246,0.206,0.1992,0.1852,5.337E-24,0.0,0.0,4.821E-4,5.47E-8,8.05E-9,0.0,0.0,0.0,0.0,0.0,0.0,1.362E-25,0.0,2.5420000000000003E-26,9.563E-24,1.513E-23,5.681E-25,5.07E-25,9.370000000000001E-25,1.679E-25,1.493E-24,2.866E-25,6.186E-24,0.0,1.587E-36,1.476E-29,5.869E-29,8.039E-30,4.0700000000000005E-31,2.447E-31,8.987000000000001E-36,1.1240000000000001E-32,1.404E-32,2.247E-32,0.0,0.0,7869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.037E-4,0.0,364.4,960500.0,99430.0,60960.0,2.107E7,37150.0,28660.0,27730.0,56460.0,26260.0,0.0,2.373E-38,2.016E-38,9.238E-38,6.424E-38,7.389E-39,7.721E-39,3.448E-40,6.509E-40,1.628E-39,1.9269999999999998E-40,2.08E-35,0.0,0.3053,0.8353,1.546,0.9148,0.1132,0.07525,0.003028,0.005616,0.01025,0.002572,0.0,0.0,4.767E-4,0.001219,0.001196,0.9924,8.95E-4,9.791E-4,2.861E-4,0.001877,6.889E-4,0.0,7.822E-5,0.01437,0.001922,0.001695,0.169,0.003188,5.553E-4,8.056E-4,0.001624,3.019E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.0,158.4,143.7,111.2,0.08417,5.308,0.4409,0.8241,1.701,0.1388,0.0,344.4,0.2145,1.768,0.2886,0.215,0.2504,0.155,0.5196,1.66,10.32,0.0,344.4,0.2145,1.768,0.2886,0.215,0.2504,0.155,0.5196,1.66,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.9,109.9,32.05,834.5,3.089,2.031,4.246,196.7,2.719,0.0,141.5,11.42,19.05,31.26,39.85,0.1599,0.01919,0.191,0.1817,0.1641,8.666E-24,0.0,0.0,5.513E-4,6.187E-8,9.681E-9,0.0,0.0,0.0,0.0,0.0,0.0,2.725E-25,0.0,2.5420000000000003E-26,1.6789999999999998E-22,1.5899999999999998E-23,2.795E-24,1.07E-24,1.579E-24,2.739E-25,2.78E-24,5.869E-25,1.75E-23,0.0,1.587E-36,8.236999999999999E-29,6.797000000000001E-28,2.031E-29,1.687E-30,6.325E-32,1.476E-35,3.737E-32,4.672E-32,1.815E-31,0.0,0.0,6707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.824E-4,0.0,381.2,740600.0,105600.0,62060.0,2.149E7,35640.0,29340.0,28210.0,56760.0,27470.0,0.0,2.373E-38,1.907E-38,9.163E-38,6.904E-38,7.493999999999999E-39,3.012E-39,2.432E-40,6.53E-40,1.632E-39,1.957E-40,2.08E-35,0.0,0.3053,0.8405,1.535,0.943,0.1148,0.03505,0.002291,0.005692,0.01034,0.002722,0.0,0.0,4.767E-4,0.001219,0.001196,0.9924,8.95E-4,9.791E-4,2.861E-4,0.001877,6.889E-4,0.0,7.822E-5,0.01254,0.001963,0.001688,0.1689,0.003124,5.549E-4,7.991E-4,0.001631,3.044E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.0,164.0,148.8,118.0,0.05619,4.103,0.4415,0.8245,1.701,0.1389,0.0,344.4,0.2328,1.714,0.2894,0.2034,0.2399,0.1491,0.5245,1.66,10.32,0.0,344.4,0.2328,1.714,0.2894,0.2034,0.2399,0.1491,0.5245,1.66,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.2,112.5,33.32,794.4,3.097,1.945,4.21,196.6,2.708,0.0,138.9,11.63,17.27,24.84,39.5,0.1474,0.01926,0.184,0.1726,0.1513,1.244E-23,0.0,0.0,5.88E-4,1.861E-7,3.87E-8,0.0,0.0,0.0,0.0,0.0,0.0,4.262E-25,0.0,2.5400000000000003E-26,1.7759999999999998E-22,2.3859999999999996E-22,4.914E-24,2.191E-24,2.765E-24,5.293000000000001E-25,6.919E-24,1.227E-24,3.484E-23,0.0,1.577E-36,2.271E-28,2.172E-27,1.6070000000000002E-28,2.509E-30,1.058E-31,2.852E-35,5.978E-32,7.475E-32,7.2880000000000004E-31,0.0,0.0,6443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-4,0.0,505.3,683400.0,108300.0,62610.0,2.225E7,35130.0,29840.0,27520.0,57470.0,27420.0,0.0,2.087E-38,1.838E-38,9.167E-38,7.0E-38,7.335E-39,1.4669999999999999E-39,2.446E-40,6.456E-40,1.625E-39,1.825E-40,2.08E-35,0.0,0.2682,0.8554,1.548,0.9477,0.1122,0.02328,0.002295,0.005618,0.01025,0.002594,0.0,0.0,4.767E-4,0.001219,0.001196,0.9924,8.95E-4,9.791E-4,2.861E-4,0.001877,6.889E-4,0.0,8.696E-5,0.01213,0.001908,0.00168,0.1689,0.002969,5.559E-4,7.986E-4,0.00163,3.033E-4,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.0,163.3,151.7,122.6,0.0527,3.919,0.4395,0.8266,1.702,0.1396,0.0,344.4,0.1965,1.732,0.2923,0.1986,0.2365,0.1491,0.5326,1.652,10.32,0.0,344.4,0.1965,1.732,0.2923,0.1986,0.2365,0.1491,0.5326,1.652,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.8,112.5,34.18,760.5,3.013,1.859,4.074,196.5,2.645,0.0,138.9,11.87,14.93,19.38,39.2,0.1412,0.01906,0.1801,0.1682,0.1467,1.8839999999999998E-23,0.0,0.0,6.378E-4,1.858E-7,4.144E-8,0.0,0.0,0.0,0.0,0.0,0.0,7.325E-25,0.0,2.5400000000000003E-26,2.0249999999999998E-22,1.426E-21,9.102E-24,4.93E-24,5.09E-24,2.136E-24,1.021E-23,1.9179999999999998E-23,1.306E-22,0.0,1.577E-36,4.199E-28,1.139E-26,6.384E-28,3.287E-30,1.728E-31,5.453E-35,8.611E-32,1.396E-31,2.007E-30,0.0,0.0,5658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.923E-4,0.0,505.3,560800.0,106300.0,61840.0,2.302E7,34680.0,29950.0,26180.0,58110.0,27090.0,0.0,2.087E-38,1.8E-38,9.117E-38,6.99E-38,7.245E-39,1.293E-39,2.438E-40,6.42E-40,1.622E-39,1.749E-40,2.08E-35,0.0,0.2682,0.8477,1.551,0.9447,0.111,0.02031,0.002288,0.005599,0.01022,0.002553,0.0,0.0,4.767E-4,0.001219,0.001196,0.9924,8.95E-4,9.791E-4,2.861E-4,0.001877,6.889E-4,0.0,8.696E-5,0.01094,0.001893,0.001673,0.167,0.002914,5.493E-4,8.02E-4,0.001624,3.018E-4,
