RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
9145000.0,2398000.0,1406000.0,7308000.0,4033000.0,1065000.0,372700.0,4892000.0,1386000.0,2400000.0,2400000.0,
8911000.0,2367000.0,1398000.0,7178000.0,3987000.0,1065000.0,372700.0,4892000.0,1386000.0,9849000.0,9964000.0,
8881000.0,2347000.0,1397000.0,7148000.0,3947000.0,1065000.0,372700.0,4892000.0,1459000.0,9824000.0,9943000.0,
8783000.0,2344000.0,1376000.0,7044000.0,3912000.0,1065000.0,372600.0,4892000.0,1459000.0,9824000.0,9998000.0,
8655000.0,2327000.0,1375000.0,6935000.0,3881000.0,1065000.0,372500.0,4892000.0,1459000.0,9824000.0,1.003E7,
8625000.0,2316000.0,1362000.0,6880000.0,3867000.0,1064000.0,372500.0,4892000.0,1566000.0,9767000.0,9891000.0,
8598000.0,2315000.0,1360000.0,6819000.0,3846000.0,1062000.0,372200.0,4892000.0,1605000.0,9776000.0,9769000.0,
8483000.0,2302000.0,1359000.0,6714000.0,3796000.0,1062000.0,371900.0,4892000.0,1605000.0,9776000.0,9819000.0,
8372000.0,2302000.0,1359000.0,6645000.0,3784000.0,1061000.0,371600.0,4892000.0,1604000.0,9825000.0,9831000.0,
8300000.0,2299000.0,1358000.0,6611000.0,3776000.0,1061000.0,371600.0,4892000.0,1604000.0,9825000.0,9839000.0,
8211000.0,2282000.0,1358000.0,6526000.0,3776000.0,1061000.0,371400.0,4892000.0,1604000.0,9825000.0,9839000.0,
8314000.0,2279000.0,1357000.0,6511000.0,3712000.0,1061000.0,371400.0,4892000.0,1623000.0,9855000.0,9762000.0,
8282000.0,2279000.0,1357000.0,6511000.0,3704000.0,1061000.0,371400.0,4892000.0,1623000.0,9855000.0,9792000.0,
8266000.0,2278000.0,1339000.0,6506000.0,3629000.0,1061000.0,371400.0,4892000.0,1623000.0,9954000.0,9894000.0,
8228000.0,2278000.0,1339000.0,6506000.0,3606000.0,1061000.0,371400.0,4892000.0,1623000.0,9954000.0,9939000.0,
8325000.0,2278000.0,1339000.0,6506000.0,3535000.0,1061000.0,371400.0,4892000.0,1709000.0,9869000.0,9883000.0,
8456000.0,2278000.0,1339000.0,6506000.0,3535000.0,1061000.0,371400.0,4892000.0,1794000.0,9832000.0,9732000.0,
8420000.0,2278000.0,1339000.0,6491000.0,3488000.0,1061000.0,371300.0,4892000.0,1794000.0,9832000.0,9779000.0,
8375000.0,2278000.0,1339000.0,6471000.0,3432000.0,1061000.0,371300.0,4892000.0,1794000.0,9881000.0,9835000.0,
8354000.0,2278000.0,1339000.0,6466000.0,3420000.0,1061000.0,371300.0,4892000.0,1876000.0,9849000.0,9814000.0,
8318000.0,2278000.0,1339000.0,6436000.0,3336000.0,1061000.0,371300.0,4892000.0,1876000.0,9898000.0,9898000.0,
8278000.0,2277000.0,1339000.0,6417000.0,3297000.0,1061000.0,371300.0,4892000.0,1876000.0,9898000.0,9936000.0,
8253000.0,2276000.0,1339000.0,6388000.0,3297000.0,1061000.0,371300.0,4892000.0,1876000.0,9997000.0,9936000.0,
8228000.0,2276000.0,1339000.0,6388000.0,3277000.0,1061000.0,371300.0,4892000.0,1876000.0,9997000.0,9956000.0,
8228000.0,2276000.0,1324000.0,6383000.0,3277000.0,1061000.0,371300.0,4892000.0,1876000.0,9997000.0,9971000.0,
8176000.0,2274000.0,1322000.0,6378000.0,3277000.0,1061000.0,371300.0,4892000.0,1876000.0,9997000.0,1.002E7,
8141000.0,2274000.0,1322000.0,6378000.0,3277000.0,1061000.0,371300.0,4892000.0,1876000.0,9997000.0,1.002E7,
8092000.0,2273000.0,1322000.0,6373000.0,3231000.0,1061000.0,371300.0,4892000.0,1876000.0,9997000.0,1.008E7,
8106000.0,2272000.0,1322000.0,6350000.0,3216000.0,1061000.0,371300.0,4892000.0,1968000.0,9905000.0,1.005E7,
8063000.0,2271000.0,1322000.0,6350000.0,3202000.0,1061000.0,371200.0,4892000.0,1968000.0,9954000.0,1.008E7,
8118000.0,2271000.0,1314000.0,6335000.0,3202000.0,1061000.0,371200.0,4892000.0,1984000.0,1.004E7,9999000.0,
7981000.0,2290000.0,1317000.0,6390000.0,3202000.0,1073000.0,371200.0,4909000.0,1954000.0,1.009E7,9999000.0,
7921000.0,2326000.0,1319000.0,6377000.0,3228000.0,1047000.0,383300.0,4914000.0,1937000.0,1.024E7,9999000.0,
7875000.0,2327000.0,1325000.0,6375000.0,3214000.0,1047000.0,394100.0,4920000.0,1920000.0,1.024E7,1.001E7,
7989000.0,2331000.0,1328000.0,6353000.0,3214000.0,1047000.0,394100.0,4920000.0,2067000.0,1.009E7,9854000.0,
7972000.0,2331000.0,1334000.0,6344000.0,3203000.0,1040000.0,400200.0,4944000.0,2037000.0,1.009E7,9872000.0,
7909000.0,2350000.0,1336000.0,6315000.0,3178000.0,1052000.0,394100.0,4963000.0,2012000.0,1.014E7,9897000.0,
7943000.0,2360000.0,1339000.0,6335000.0,3207000.0,1033000.0,396100.0,4999000.0,2106000.0,1.0E7,9780000.0,
7874000.0,2379000.0,1340000.0,6349000.0,3201000.0,1033000.0,408200.0,4981000.0,2106000.0,1.0E7,9793000.0,
7870000.0,2390000.0,1344000.0,6359000.0,3189000.0,1033000.0,426300.0,4972000.0,2129000.0,9964000.0,9719000.0,
7890000.0,2389000.0,1349000.0,6417000.0,3201000.0,1026000.0,432300.0,4972000.0,2135000.0,9946000.0,9607000.0,
7791000.0,2422000.0,1354000.0,6442000.0,3207000.0,1026000.0,438300.0,4981000.0,2114000.0,9995000.0,9607000.0,
7859000.0,2428000.0,1357000.0,6428000.0,3185000.0,1032000.0,727400.0,4747000.0,2127000.0,9972000.0,9543000.0,
7819000.0,2434000.0,1360000.0,6398000.0,3185000.0,1045000.0,727400.0,4754000.0,2174000.0,1.001E7,9543000.0,
7786000.0,2446000.0,1362000.0,6383000.0,3172000.0,1044000.0,745500.0,4784000.0,2125000.0,1.006E7,9555000.0,
7743000.0,2457000.0,1365000.0,6387000.0,3178000.0,1038000.0,757500.0,4797000.0,2223000.0,9983000.0,9555000.0,
7692000.0,2492000.0,1366000.0,6382000.0,3165000.0,1038000.0,757500.0,4873000.0,2147000.0,9983000.0,9568000.0,
7628000.0,2506000.0,1368000.0,6395000.0,3152000.0,1057000.0,738400.0,4915000.0,2189000.0,9898000.0,9580000.0,
7543000.0,2506000.0,1372000.0,6431000.0,3855000.0,354800.0,738400.0,4944000.0,2160000.0,9898000.0,9580000.0,
7505000.0,2517000.0,1354000.0,6437000.0,3861000.0,348800.0,750500.0,4983000.0,2110000.0,9898000.0,9604000.0,
7460000.0,2518000.0,1358000.0,6412000.0,3848000.0,354800.0,768600.0,4999000.0,2069000.0,9898000.0,9616000.0,
7407000.0,2524000.0,1360000.0,6417000.0,3848000.0,354800.0,768500.0,4999000.0,2069000.0,9898000.0,9616000.0,
7329000.0,2522000.0,1349000.0,6424000.0,3848000.0,354600.0,768400.0,5015000.0,2053000.0,9898000.0,9630000.0,
7250000.0,2531000.0,1350000.0,6422000.0,3811000.0,354600.0,780500.0,5040000.0,2016000.0,9898000.0,9668000.0,
7208000.0,2541000.0,1353000.0,6422000.0,3798000.0,354600.0,780400.0,5039000.0,2016000.0,9898000.0,9681000.0,
7240000.0,2540000.0,1360000.0,6433000.0,3783000.0,348600.0,792500.0,5063000.0,2056000.0,9824000.0,9612000.0,
7155000.0,2556000.0,1365000.0,6447000.0,3760000.0,359500.0,787700.0,5067000.0,2046000.0,9824000.0,9635000.0,
7169000.0,2561000.0,1366000.0,6462000.0,3723000.0,365500.0,787700.0,5071000.0,2195000.0,9665000.0,9602000.0,
7179000.0,2558000.0,1369000.0,6459000.0,3701000.0,365500.0,793700.0,5117000.0,2171000.0,9635000.0,9561000.0,
7131000.0,2579000.0,1372000.0,6444000.0,3701000.0,365500.0,808500.0,5139000.0,2177000.0,9593000.0,9561000.0,
7088000.0,2565000.0,1374000.0,6448000.0,3680000.0,371500.0,808500.0,5168000.0,2143000.0,9640000.0,9582000.0,
7177000.0,2580000.0,1376000.0,6448000.0,3660000.0,371500.0,857100.0,5168000.0,2128000.0,9655000.0,9465000.0,
7156000.0,2573000.0,1380000.0,6457000.0,3619000.0,383500.0,869200.0,5214000.0,2058000.0,9703000.0,9506000.0,
7121000.0,2589000.0,1365000.0,6461000.0,3575000.0,388400.0,876400.0,5222000.0,2038000.0,9849000.0,9571000.0,
7068000.0,2590000.0,1368000.0,6485000.0,3509000.0,388300.0,882400.0,5226000.0,2066000.0,9811000.0,9637000.0,
7073000.0,2609000.0,1370000.0,6480000.0,3447000.0,400300.0,4463000.0,1654000.0,2207000.0,9649000.0,9658000.0,
7057000.0,2620000.0,1351000.0,6475000.0,3415000.0,400300.0,4463000.0,1660000.0,2195000.0,9697000.0,9720000.0,
7017000.0,2626000.0,1334000.0,6495000.0,3368000.0,398800.0,4463000.0,1677000.0,2178000.0,9746000.0,9789000.0,
7033000.0,2633000.0,1340000.0,6481000.0,3355000.0,404900.0,4457000.0,1688000.0,2203000.0,9758000.0,9757000.0,
7008000.0,2637000.0,1345000.0,6483000.0,3337000.0,404900.0,4463000.0,1762000.0,2124000.0,9856000.0,9774000.0,
6982000.0,2650000.0,1347000.0,6469000.0,3268000.0,398800.0,4463000.0,1762000.0,2124000.0,9856000.0,9849000.0,
6871000.0,2661000.0,1353000.0,6538000.0,3230000.0,398800.0,4463000.0,1877000.0,2008000.0,9905000.0,9887000.0,
6836000.0,2671000.0,1359000.0,6777000.0,3230000.0,404800.0,4463000.0,1947000.0,1963000.0,9874000.0,9667000.0,
6996000.0,2684000.0,1364000.0,6793000.0,3230000.0,404800.0,4469000.0,2024000.0,1944000.0,9811000.0,9447000.0,
6953000.0,2686000.0,1368000.0,6805000.0,3230000.0,404800.0,4469000.0,2043000.0,1924000.0,9811000.0,9447000.0,
6909000.0,2678000.0,1369000.0,6801000.0,3210000.0,404800.0,4475000.0,2037000.0,1924000.0,9860000.0,9468000.0,
6862000.0,2692000.0,1372000.0,6806000.0,3174000.0,401800.0,4469000.0,2055000.0,1906000.0,1.001E7,9512000.0,
6808000.0,2682000.0,1384000.0,6807000.0,3186000.0,390100.0,4469000.0,2067000.0,1895000.0,1.001E7,9512000.0,
6769000.0,2695000.0,1389000.0,6788000.0,3148000.0,390100.0,4469000.0,2081000.0,1929000.0,1.006E7,9550000.0,
6729000.0,2697000.0,1390000.0,6796000.0,3130000.0,390000.0,4486000.0,2101000.0,1923000.0,1.013E7,9568000.0,
6706000.0,2696000.0,1394000.0,6771000.0,3102000.0,385500.0,4486000.0,2123000.0,1901000.0,1.018E7,9600000.0,
6740000.0,2704000.0,1377000.0,6766000.0,3059000.0,385500.0,4486000.0,2135000.0,1905000.0,1.016E7,9594000.0,
6812000.0,2719000.0,1379000.0,6767000.0,3014000.0,385400.0,4504000.0,2157000.0,2075000.0,9954000.0,9532000.0,
6685000.0,2721000.0,1383000.0,6869000.0,2996000.0,391500.0,4498000.0,2157000.0,2075000.0,1.0E7,9550000.0,
6596000.0,2726000.0,1386000.0,6930000.0,2957000.0,391500.0,4498000.0,2188000.0,2045000.0,1.005E7,9589000.0,
6576000.0,2719000.0,1388000.0,6925000.0,2969000.0,379500.0,4506000.0,2189000.0,2035000.0,1.005E7,9589000.0,
6567000.0,2719000.0,1392000.0,6925000.0,2969000.0,379500.0,4506000.0,2189000.0,2035000.0,1.01E7,9589000.0,
6547000.0,2726000.0,1394000.0,6925000.0,2927000.0,379500.0,4506000.0,2219000.0,2005000.0,1.015E7,9631000.0,
6481000.0,2733000.0,1397000.0,6957000.0,2914000.0,379500.0,4525000.0,2215000.0,1990000.0,1.015E7,9644000.0,
6467000.0,2735000.0,1400000.0,6944000.0,2890000.0,379500.0,4525000.0,2225000.0,1980000.0,1.015E7,9668000.0,
6414000.0,2742000.0,1402000.0,6974000.0,2890000.0,379500.0,4536000.0,2220000.0,1974000.0,1.021E7,9668000.0,
6604000.0,2740000.0,1404000.0,6965000.0,2890000.0,379500.0,4536000.0,2220000.0,2042000.0,1.014E7,9453000.0,
6534000.0,2754000.0,1409000.0,6991000.0,2890000.0,379500.0,4536000.0,2267000.0,2056000.0,1.008E7,9453000.0,
6501000.0,2758000.0,1391000.0,6991000.0,2894000.0,392700.0,4524000.0,2328000.0,1990000.0,1.013E7,9475000.0,
6482000.0,2760000.0,1397000.0,6986000.0,2871000.0,398800.0,4524000.0,2363000.0,2068000.0,1.006E7,9499000.0,
6414000.0,2765000.0,1406000.0,6997000.0,2871000.0,415700.0,4513000.0,2466000.0,2089000.0,9927000.0,9522000.0,
6392000.0,2772000.0,1411000.0,6988000.0,2857000.0,774900.0,5041000.0,1588000.0,2073000.0,9976000.0,9542000.0,
6373000.0,2764000.0,1412000.0,6988000.0,2843000.0,776100.0,5054000.0,1575000.0,2067000.0,1.003E7,9562000.0,
6320000.0,2763000.0,1416000.0,7012000.0,2843000.0,782100.0,5054000.0,1569000.0,2067000.0,1.003E7,9562000.0,
6428000.0,2768000.0,1423000.0,7029000.0,2787000.0,794200.0,5036000.0,1593000.0,2214000.0,9855000.0,9477000.0,
6392000.0,2770000.0,1428000.0,7008000.0,2787000.0,800200.0,5036000.0,1587000.0,2371000.0,9698000.0,9477000.0,
6372000.0,2777000.0,1431000.0,6993000.0,2787000.0,806200.0,5030000.0,1598000.0,2360000.0,9698000.0,9477000.0,
6357000.0,2770000.0,1438000.0,6989000.0,2763000.0,812300.0,5024000.0,1691000.0,2268000.0,9698000.0,9501000.0,
6334000.0,2775000.0,1440000.0,6964000.0,2763000.0,824300.0,5017000.0,1723000.0,2433000.0,9494000.0,9501000.0,
6297000.0,2779000.0,1441000.0,6962000.0,2748000.0,824200.0,5047000.0,1732000.0,2395000.0,9494000.0,9516000.0,
