R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfaEn,area,bead1,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pepEn,pepMHCIEn,povaEn,protonEn,solubleMarker,volume,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.8E-5,0.031,0.031,0.0,430.0,8.6,0.0,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.7E-5,0.031,0.031,0.0,420.0,8.6,0.0,0.0,0.0,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.9E-5,0.031,0.031,0.0,400.0,8.6,0.0,1.0E-27,1.6000000000000001E-38,0.0,1.8E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.8E-5,0.031,0.031,0.0,360.0,8.6,0.0,4.1E-27,1.1E-37,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.5E-5,0.031,0.031,0.0,350.0,8.6,0.0,9.2E-27,2.9E-37,0.0,1.9E7,1.0,7.0E8,
1.6E-37,0.0095,960.0,420.0,3100.0,3799999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.19,3799999.9999999995,0.0,3.0E-5,0.031,0.031,0.0,330.0,8.6,0.0,1.6E-26,5.0E-37,0.0,2.0E7,1.0,7.0E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,0.0,2.8E-5,0.031,0.031,0.0,320.0,8.5,0.0,2.8E-26,7.3000000000000005E-37,0.0,2.0E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,0.0,3.2E-5,0.031,0.031,0.0,290.0,8.5,0.0,8.6E-26,2.1000000000000002E-36,0.0,1.9E7,1.0,6.8E8,
1.5E-37,0.0094,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3799999.9999999995,0.0,3.1E-5,0.031,0.031,0.0,260.0,8.5,0.0,1.9E-25,5.3000000000000005E-36,0.0,1.9E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,3.1E-5,0.031,0.031,0.0,240.0,8.5,0.0,3.3E-25,1.0E-35,0.0,1.9E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,3.3E-5,0.031,0.031,0.0,240.0,8.5,0.0,5.099999999999999E-25,1.7999999999999998E-35,0.0,1.9E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,3.2E-5,0.031,0.031,0.0,240.0,8.5,0.0,8.1E-25,2.8E-35,0.0,1.9E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,2.8E-5,0.031,0.031,0.0,240.0,8.5,0.0,1.2E-24,4.0E-35,0.0,2.0E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,2.4E-5,0.031,0.031,0.0,240.0,8.5,0.0,1.7E-24,5.2E-35,0.0,2.1E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,2.0E-5,0.031,0.031,0.0,240.0,8.5,0.0,2.2999999999999997E-24,6.2E-35,0.0,2.2E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,1.7E-5,0.031,0.031,0.0,240.0,8.5,0.0,2.9999999999999996E-24,7.0E-35,0.0,2.4E7,1.0,6.8E8,
1.5E-37,0.0093,960.0,420.0,3100.0,3699999.9999999995,3900.0,1600.0,2100.0,240.0,2500.0,0.18,3699999.9999999995,0.0,1.5E-5,0.031,0.031,0.0,240.0,8.5,0.0,3.7E-24,7.599999999999999E-35,0.0,2.5E7,1.0,6.8E8,
