entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
2.089,0.1425,0.1767,0.04635,0.02718,0.1412,0.07794,0.02059,0.007203,0.09454,0.02678,0.1904,0.1911,
2.09,0.1374,0.1749,0.04621,0.02724,0.1406,0.07802,0.02068,0.007231,0.09494,0.02689,0.1912,0.1921,
2.093,0.1356,0.1753,0.04628,0.02731,0.1408,0.07785,0.02073,0.00725,0.09519,0.02804,0.1906,0.1907,
2.097,0.1409,0.177,0.04629,0.02741,0.1403,0.07747,0.02083,0.007284,0.09565,0.03011,0.1905,0.1871,
2.096,0.1417,0.1738,0.04579,0.02753,0.1379,0.07687,0.02093,0.00732,0.09613,0.03026,0.1944,0.1891,
2.097,0.1353,0.1717,0.04601,0.02765,0.1366,0.07683,0.02098,0.007355,0.09661,0.03041,0.1953,0.1905,
2.096,0.1382,0.1702,0.04616,0.02775,0.1356,0.07548,0.02105,0.007381,0.09697,0.03053,0.1961,0.1928,
2.095,0.1378,0.169,0.04612,0.02783,0.1321,0.07538,0.02114,0.007409,0.09735,0.03064,0.1988,0.1941,
2.096,0.1422,0.1656,0.046,0.02797,0.1303,0.07588,0.02128,0.007468,0.09816,0.0309,0.2005,0.1959,
2.1,0.137,0.1655,0.04616,0.02805,0.1306,0.0755,0.02136,0.007496,0.09854,0.03281,0.1994,0.1946,
2.1,0.1452,0.1618,0.0458,0.02815,0.1294,0.07502,0.02151,0.007548,0.09929,0.03306,0.201,0.1975,
2.099,0.1665,0.1612,0.04574,0.02815,0.1293,0.07462,0.02153,0.007556,0.0994,0.03309,0.2012,0.1982,
2.101,0.1602,0.1622,0.04565,0.02812,0.1287,0.07429,0.02151,0.007548,0.09929,0.03459,0.2014,0.1966,
2.102,0.1495,0.165,0.04563,0.02811,0.1287,0.07334,0.0215,0.007545,0.09925,0.03518,0.2018,0.194,
2.101,0.1508,0.1644,0.04563,0.02811,0.1284,0.07333,0.0215,0.007543,0.09925,0.03518,0.2027,0.194,
2.104,0.1465,0.1641,0.04546,0.02782,0.1281,0.07329,0.02149,0.007539,0.09919,0.03739,0.2014,0.1942,
2.107,0.1351,0.1636,0.04549,0.02785,0.1278,0.07322,0.02151,0.007548,0.09931,0.03896,0.2001,0.1946,
2.107,0.1338,0.1647,0.04542,0.02788,0.1273,0.07251,0.02153,0.007523,0.09939,0.03939,0.1999,0.1945,
2.106,0.1316,0.1643,0.04545,0.02789,0.1269,0.07196,0.02148,0.007529,0.09946,0.03942,0.2,0.1955,
2.107,0.1304,0.1695,0.04545,0.02789,0.1269,0.0712,0.02149,0.007529,0.09947,0.0404,0.1991,0.191,
2.107,0.1329,0.1691,0.04548,0.02764,0.1269,0.07089,0.0215,0.007534,0.09953,0.04043,0.1992,0.1918,
2.105,0.1317,0.1688,0.04535,0.02763,0.1268,0.06984,0.02149,0.007529,0.09947,0.04037,0.2001,0.1927,
2.105,0.1308,0.1681,0.04518,0.02764,0.1269,0.06963,0.0215,0.007535,0.09954,0.0404,0.2002,0.1934,
2.106,0.1275,0.1675,0.04522,0.02752,0.1268,0.0697,0.02152,0.007542,0.09965,0.04106,0.1998,0.1937,
2.105,0.1297,0.1667,0.04521,0.02751,0.1267,0.06919,0.02152,0.00754,0.09963,0.04105,0.2008,0.1942,
2.104,0.1344,0.1662,0.04513,0.02746,0.1264,0.06907,0.02148,0.007527,0.09946,0.04098,0.2024,0.1938,
2.105,0.1282,0.1653,0.0451,0.02745,0.1257,0.06797,0.02147,0.007522,0.0994,0.04266,0.2026,0.1948,
2.104,0.1264,0.1647,0.04511,0.02746,0.1249,0.06755,0.02148,0.007526,0.09945,0.04268,0.2037,0.1954,
2.103,0.132,0.1658,0.04495,0.02743,0.1247,0.06568,0.02146,0.007519,0.09936,0.04378,0.2044,0.1949,
2.102,0.1265,0.1651,0.04494,0.02742,0.1246,0.06456,0.02145,0.007516,0.09933,0.04376,0.2054,0.1959,
2.101,0.1288,0.1649,0.04482,0.0274,0.1246,0.06434,0.02146,0.00752,0.09938,0.04378,0.2055,0.1963,
2.101,0.1487,0.1632,0.04493,0.0274,0.125,0.06422,0.02131,0.007934,0.1001,0.04249,0.2073,0.1962,
2.101,0.1502,0.1628,0.04507,0.02743,0.1248,0.0637,0.02133,0.008599,0.1002,0.04168,0.2074,0.197,
2.136,0.1437,0.1642,0.04502,0.02754,0.1248,0.06375,0.02134,0.02789,0.08137,0.04284,0.2061,0.1952,
2.136,0.1527,0.1633,0.04524,0.02766,0.1248,0.06379,0.02148,0.0282,0.08246,0.04143,0.2062,0.1953,
2.135,0.1574,0.1615,0.04531,0.02774,0.1253,0.06393,0.02148,0.0282,0.08417,0.03962,0.2073,0.1954,
2.133,0.1556,0.1597,0.04584,0.02778,0.1259,0.06402,0.02147,0.02831,0.08742,0.03606,0.2082,0.1953,
2.133,0.157,0.1592,0.04597,0.0278,0.1259,0.06418,0.02136,0.02851,0.08779,0.03559,0.2083,0.1954,
2.136,0.1625,0.1595,0.04608,0.02796,0.1261,0.06345,0.02137,0.02839,0.08928,0.03715,0.2054,0.1953,
2.137,0.149,0.1575,0.04627,0.02805,0.1274,0.06374,0.02114,0.02841,0.08935,0.03718,0.2055,0.1955,
2.114,0.1622,0.1552,0.04647,0.02812,0.1285,0.07788,0.007884,0.02775,0.09005,0.0362,0.2065,0.1954,
2.119,0.1633,0.1552,0.04673,0.0282,0.1313,0.07755,0.00801,0.02764,0.09133,0.03781,0.2037,0.1925,
2.118,0.1579,0.1538,0.04686,0.02783,0.1314,0.07731,0.007985,0.02755,0.09105,0.0377,0.2062,0.1923,
