bead1Er;bead1Pm;bead1RabA;bead1RabB;bead1RabC;bead1RabD;bead1RabE;bead1RabF;bead1RabG;bead1RabH;bead1RabI;cMHCIEnEr;cMHCIEnPm;cMHCIEnRabA;cMHCIEnRabB;cMHCIEnRabC;cMHCIEnRabD;cMHCIEnRabE;cMHCIEnRabF;cMHCIEnRabG;cMHCIEnRabH;cMHCIEnRabI;exCxEnEr;exCxEnPm;exCxEnRabA;exCxEnRabB;exCxEnRabC;exCxEnRabD;exCxEnRabE;exCxEnRabF;exCxEnRabG;exCxEnRabH;exCxEnRabI;imCxEnEr;imCxEnPm;imCxEnRabA;imCxEnRabB;imCxEnRabC;imCxEnRabD;imCxEnRabE;imCxEnRabF;imCxEnRabG;imCxEnRabH;imCxEnRabI;membraneMarkerEr;membraneMarkerPm;membraneMarkerRabA;membraneMarkerRabB;membraneMarkerRabC;membraneMarkerRabD;membraneMarkerRabE;membraneMarkerRabF;membraneMarkerRabG;membraneMarkerRabH;membraneMarkerRabI;mvbEr;mvbPm;mvbRabA;mvbRabB;mvbRabC;mvbRabD;mvbRabE;mvbRabF;mvbRabG;mvbRabH;mvbRabI;oMHCIEnEr;oMHCIEnPm;oMHCIEnRabA;oMHCIEnRabB;oMHCIEnRabC;oMHCIEnRabD;oMHCIEnRabE;oMHCIEnRabF;oMHCIEnRabG;oMHCIEnRabH;oMHCIEnRabI;ovaCyCy;ovaEnEr;ovaEnPm;ovaEnRabA;ovaEnRabB;ovaEnRabC;ovaEnRabD;ovaEnRabE;ovaEnRabF;ovaEnRabG;ovaEnRabH;ovaEnRabI;pepCyCy;pepEnEr;pepEnPm;pepEnRabA;pepEnRabB;pepEnRabC;pepEnRabD;pepEnRabE;pepEnRabF;pepEnRabG;pepEnRabH;pepEnRabI;pepMHCIEnEr;pepMHCIEnPm;pepMHCIEnRabA;pepMHCIEnRabB;pepMHCIEnRabC;pepMHCIEnRabD;pepMHCIEnRabE;pepMHCIEnRabF;pepMHCIEnRabG;pepMHCIEnRabH;pepMHCIEnRabI;povaEnEr;povaEnPm;povaEnRabA;povaEnRabB;povaEnRabC;povaEnRabD;povaEnRabE;povaEnRabF;povaEnRabG;povaEnRabH;povaEnRabI;protonCyCy;protonEnEr;protonEnPm;protonEnRabA;protonEnRabB;protonEnRabC;protonEnRabD;protonEnRabE;protonEnRabF;protonEnRabG;protonEnRabH;protonEnRabI;R-TfaEnEr;R-TfaEnPm;R-TfaEnRabA;R-TfaEnRabB;R-TfaEnRabC;R-TfaEnRabD;R-TfaEnRabE;R-TfaEnRabF;R-TfaEnRabG;R-TfaEnRabH;R-TfaEnRabI;R-TfEnPm;REnEr;REnPm;REnRabA;REnRabB;REnRabC;REnRabD;REnRabE;REnRabF;REnRabG;REnRabH;REnRabI;solubleMarkerEr;solubleMarkerPm;solubleMarkerRabA;solubleMarkerRabB;solubleMarkerRabC;solubleMarkerRabD;solubleMarkerRabE;solubleMarkerRabF;solubleMarkerRabG;solubleMarkerRabH;solubleMarkerRabI;TfaEnEr;TfaEnPm;TfaEnRabA;TfaEnRabB;TfaEnRabC;TfaEnRabD;TfaEnRabE;TfaEnRabF;TfaEnRabG;TfaEnRabH;TfaEnRabI
0;0;1;0;0;0;0;0;0;0;0;0;1605;164,5;183,8;154,6;0,04902;5,632;0,2397;0,1645;0,9829;0,4028;0;343,6;0,137;0,6699;0,6161;0,06893;0,1893;0,05927;0,08164;4,769;11,01;0;343,6;0,137;0,6699;0,6161;0,06893;0,1893;0,05927;0,08164;4,769;11,01;0;0;0;0;0;0;0;0;0;0;0;0;0;308,6;90,58;37,71;793,3;165,2;3,317;3,693;30,57;4,163;0;45,19;10,41;11,02;64,07;39,86;0,1306;0,01362;0,01546;0,0119;0,01397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;0;0;0;0;0;1,00E-04;0;0;211600;57180;47750;2,23E+07;45540;21470;24240;13490;24790;0;4,68E-36;4,19E-36;1,37E-35;1,68E-35;8,44E-37;3,98E-37;1,25E-38;7,80E-39;4,85E-38;2,18E-38;2,08E-35;0;0,6631;1,321;3,005;1,58;0,1316;0,0437;0,003975;0,002625;0,01634;0,009706;0;0;2,51E-04;1,09E-04;8,20E-04;0,9961;0,001029;4,12E-04;5,41E-04;6,27E-05;6,57E-04;0;1,00E-05;0,01505;0,008867;0,006466;0,2415;0,01391;0,001641;6,99E-04;0,005386;9,76E-04
0;0;1;0;0;0;0;0;0;0;0;0;1606;162,6;183,2;150,1;0,1441;12,14;0,3388;0,2028;1,077;0,4826;0;343,6;0,1363;0,6706;0,5949;0,06921;0,1796;0,06098;0,08342;4,762;11,02;0;343,6;0,1363;0,6706;0,5949;0,06921;0,1796;0,06098;0,08342;4,762;11,02;0;0;0;0;0;0;0;0;0;0;0;0;0;347,4;93,68;39,41;773,7;165;3,274;3,679;29,77;4,224;0;51,71;5,387;9,264;58,69;38,68;0,2564;0,01598;0,01614;0,004908;0,01574;9,35E-27;0;0;4,64E-05;0;0;0;0;0;0;0;0;4,47E-29;0;0;8,85E-30;3,20E-30;2,15E-29;5,91E-30;6,55E-30;5,55E-30;1,28E-30;3,31E-29;1,67E-31;0;0;2,58E-37;2,22E-36;1,59E-35;3,82E-38;2,39E-36;3,39E-38;1,04E-38;3,21E-38;2,54E-38;0;0;10000;0;0;0;0;0;0;0;0;1,88E-04;0;672,6;213300;50320;43980;2,14E+07;42560;20860;23060;12480;23610;0;5,10E-36;4,08E-36;1,38E-35;1,62E-35;8,25E-37;3,22E-37;1,04E-38;7,75E-39;4,62E-38;2,12E-38;2,08E-35;0;0,7114;1,275;2,993;1,545;0,1294;0,0515;0,003952;0,002715;0,01631;0,00993;0;0;2,51E-04;1,09E-04;8,20E-04;0,9961;0,001029;4,12E-04;5,41E-04;6,27E-05;6,57E-04;0;2,46E-04;0,01507;0,008818;0,006363;0,2406;0,01375;0,001631;7,10E-04;0,005402;9,66E-04
0;0;1;0;0;0;0;0;0;0;0;0;1609;162,2;181,4;155,6;0,09893;6,74;0,2736;0,1676;1,015;0,3826;0;343,6;0,1459;0,6574;0,594;0,07114;0,1762;0,06059;0,08342;4,762;11,02;0;343,6;0,1459;0,6574;0,594;0,07114;0,1762;0,06059;0,08342;4,762;11,02;0;0;0;0;0;0;0;0;0;0;0;0;0;374;94,18;38,3;740,2;164,5;3,291;3,626;29,84;4,232;0;51,71;5,362;7,905;58,02;39,43;0,08808;0,01356;0,01521;0,002802;0,01391;3,81E-26;0;0;9,63E-05;0;0;0;0;0;0;0;0;2,83E-28;0;1,41E-30;3,92E-28;1,84E-28;3,27E-28;3,93E-29;1,07E-28;5,96E-29;1,67E-29;8,15E-28;7,72E-30;0;4,27E-38;8,29E-36;1,97E-34;2,47E-33;2,46E-37;7,72E-36;1,75E-37;5,37E-38;1,85E-37;1,31E-37;0;0;10000;0;0;0;0;0;0;0;0;6,20E-04;0;946,7;219000;48350;42960;2,13E+07;40870;20030;22250;12360;23000;0;5,20E-36;4,05E-36;1,37E-35;1,62E-35;8,46E-37;2,59E-37;9,13E-39;6,56E-39;4,44E-38;1,76E-38;2,08E-35;0;0,746;1,283;2,958;1,554;0,1304;0,0283;0,003441;0,002254;0,01583;0,008526;0;0;2,51E-04;1,09E-04;8,20E-04;0,9961;0,001029;4,12E-04;5,41E-04;6,27E-05;6,57E-04;0;3,84E-04;0,01507;0,008821;0,006264;0,2381;0,0136;0,001632;7,02E-04;0,005405;9,61E-04
0;0;1;0;0;0;0;0;0;0;0;0;1572;189,6;185,2;156,2;0,0967;6,715;0,2681;0,1627;1,022;0,3792;0;343,6;0,1325;0,6658;0,5925;0,06871;0,1756;0,05974;0,08404;3,759;12,02;0;343,6;0,1325;0,6658;0,5925;0,06871;0,1756;0,05974;0,08404;3,759;12,02;0;0;0;0;0;0;0;0;0;0;0;0;0;427,9;94,98;38,47;728,2;164,5;3,136;3,515;30,54;3,975;0;48,12;6,832;7,663;57,33;39,11;0,07937;0,01329;0,015;0,002666;0,01368;2,04E-25;0;0;2,18E-04;4,20E-09;2,04E-09;0;0;0;0;0;0;2,64E-27;0;6,65E-30;2,90E-27;8,31E-27;5,97E-27;3,04E-28;8,05E-28;2,19E-28;8,74E-29;6,71E-27;6,77E-27;0;4,89E-38;6,18E-35;1,53E-33;1,57E-32;2,00E-36;7,86E-35;1,86E-36;6,07E-37;1,88E-36;1,52E-36;0;0;9420;0;0;0;0;0;0;0;0;1,02E-04;0;1046;226600;46400;43300;2,18E+07;40740;20080;22460;12380;23540;0;3,09E-36;4,71E-36;1,37E-35;1,61E-35;8,40E-37;2,58E-37;9,00E-39;6,55E-39;4,45E-38;1,74E-38;2,08E-35;0;0,4497;1,456;2,999;1,558;0,1299;0,02826;0,003414;0,00225;0,01606;0,008465;0;0;2,52E-04;1,10E-04;8,23E-04;0,9961;0,001032;4,13E-04;5,42E-04;6,29E-05;6,59E-04;0;4,72E-04;0,0152;0,008519;0,00613;0,2357;0,01353;0,001612;7,09E-04;0,005378;9,59E-04
0;0;1;0;0;0;0;0;0;0;0;0;1575;184,5;180,5;152,4;0,1076;5,764;0,2691;0,161;1,024;0,3791;0;343,6;0,1322;0,6566;0,5699;0,0682;0,1927;0,05979;0,08298;3,395;12,39;0;343,6;0,1322;0,6566;0,5699;0,0682;0,1927;0,05979;0,08298;3,395;12,39;0;0;0;0;0;0;0;0;0;0;0;0;0;470,5;96,32;38,59;707,4;164,4;3,079;3,357;30,62;3,92;0;48,12;5,378;10,37;57,24;39,49;2,731;0,01326;0,01497;0,002665;0,01365;4,06E-25;0;0;2,82E-04;4,21E-09;2,04E-09;0;0;0;0;0;0;7,83E-27;0;9,69E-28;1,25E-26;1,96E-24;9,01E-25;5,39E-27;4,44E-27;3,42E-27;1,00E-27;6,58E-26;4,09E-25;0;3,77E-36;5,77E-34;5,31E-31;2,84E-31;1,02E-33;4,48E-33;8,66E-36;2,89E-36;8,49E-36;7,88E-36;0;0;8871;0;0;0;0;0;0;0;0;7,08E-04;0;1192;224600;44630;44170;2,10E+07;40160;20010;22350;12480;23310;0;3,30E-36;4,51E-36;1,36E-35;1,56E-35;8,41E-37;5,43E-37;8,98E-39;6,45E-39;4,39E-38;1,74E-38;2,08E-35;0;0,4741;1,414;2,946;1,546;0,1298;0,04878;0,003415;0,002219;0,0161;0,008461;0;0;2,52E-04;1,10E-04;8,23E-04;0,9961;0,001032;4,13E-04;5,42E-04;6,29E-05;6,59E-04;0;6,42E-04;0,01485;0,008465;0,006109;0,2335;0,01342;0,001622;7,00E-04;0,005389;9,58E-04
0;0;1;0;0;0;0;0;0;0;0;0;1578;158,8;199,9;143,6;0,1068;5,718;0,2732;0,1595;1,011;0,3794;0;343,6;0,131;0,6572;0,583;0,0703;0,1833;0,05336;0,08128;3,387;12,39;0;343,6;0,131;0,6572;0,583;0,0703;0,1833;0,05336;0,08128;3,387;12,39;0;0;0;0;0;0;0;0;0;0;0;0;0;520,8;96,04;38,79;691,7;164,4;3,126;3,361;29,99;3,962;0;48,18;5,385;8,321;68,79;39,65;0,04529;0,01327;0,01492;0,002718;0,01365;6,53E-25;0;0;3,34E-04;4,21E-09;2,04E-09;0;0;0;0;0;0;1,74E-26;0;1,09E-27;5,36E-26;1,23E-23;8,94E-24;1,84E-26;2,03E-26;1,38E-26;3,78E-27;1,23E-25;1,72E-24;0;1,85E-35;5,03E-33;4,65E-30;4,40E-30;2,46E-32;1,25E-33;2,56E-35;8,83E-36;2,48E-35;2,57E-35;0;0;8524;0;0;0;0;0;0;0;0;1,00E-04;0;1380;220300;43110;45560;2,13E+07;40630;20240;22680;12550;23670;0;3,42E-36;4,31E-36;1,36E-35;1,56E-35;8,61E-37;2,57E-37;9,03E-39;6,49E-39;4,31E-38;1,75E-38;2,08E-35;0;0,513;1,268;3,041;1,544;0,1313;0,02822;0,003449;0,002235;0,01589;0,008489;0;0;2,52E-04;1,10E-04;8,23E-04;0,9961;0,001032;4,13E-04;5,42E-04;6,29E-05;6,59E-04;0;7,11E-04;0,01462;0,008406;0,006088;0,2322;0,01337;0,00163;6,98E-04;0,005405;9,56E-04
0;0;1;0;0;0;0;0;0;0;0;0;1579;154;197,7;130,4;0,1036;5,71;0,2731;0,1595;1,01;0,3794;0;343,6;0,1366;0,663;0,5587;0,07436;0,1833;0,05317;0,081;3,387;12,39;0;343,6;0,1366;0,663;0,5587;0,07436;0,1833;0,05317;0,081;3,387;12,39;0;0;0;0;0;0;0;0;0;0;0;0;0;557,5;97,75;39,79;661,4;164,3;3,125;3,356;29,99;3,95;0;48,18;3,138;19,26;78,4;36,33;0,0479;0,01335;0,01491;0,002834;0,01371;1,03E-24;0;0;4,21E-04;4,21E-09;2,04E-09;0;0;0;0;0;0;3,63E-26;0;6,56E-27;1,66E-25;3,79E-23;2,34E-23;4,40E-26;5,27E-26;3,20E-26;8,87E-27;4,23E-25;5,65E-24;0;1,11E-33;6,32E-32;1,69E-29;1,28E-29;5,63E-32;3,44E-33;6,09E-35;2,26E-35;7,13E-35;8,18E-35;0;0;8273;0;0;0;0;0;0;0;0;5,11E-04;0;1607;214600;45030;48270;2,19E+07;40680;19740;22240;12500;23540;0;3,55E-36;4,34E-36;1,36E-35;1,50E-35;9,86E-37;2,56E-37;8,98E-39;6,48E-39;4,26E-38;1,75E-38;2,08E-35;0;0,5342;1,246;3,026;1,525;0,1397;0,02818;0,00345;0,002236;0,01589;0,00849;0;0;2,52E-04;1,10E-04;8,23E-04;0,9961;0,001032;4,13E-04;5,42E-04;6,29E-05;6,59E-04;0;8,24E-04;0,01437;0,008414;0,006049;0,2309;0,0133;0,001633;6,97E-04;0,005405;9,56E-04
0;0;1;0;0;0;0;0;0;0;0;0;1565;168,2;197,8;127;0,09922;6,007;0,2712;0,1598;1,01;0,3792;0;343,6;0,123;0,6563;0,5663;0,06913;0,1726;0,05855;0,08212;3,07;12,71;0;343,6;0,123;0,6563;0,5663;0,06913;0,1726;0,05855;0,08212;3,07;12,71;0;0;0;0;0;0;0;0;0;0;0;0;0;602,2;101,2;38,26;642,1;164,3;3,065;3,288;29,97;3,892;0;46,64;0,8626;8,153;93,84;32,9;0,06932;0,01348;0,01488;0,003015;0,0138;1,34E-24;0;0;4,46E-04;1,87E-08;3,29E-09;0;0;0;0;0;0;5,92E-26;0;1,09E-26;7,44E-23;1,42E-24;6,16E-23;9,62E-26;1,10E-25;7,35E-26;1,96E-26;1,26E-24;1,17E-23;0;1,98E-33;3,90E-30;3,31E-29;3,89E-29;6,99E-32;6,02E-33;1,27E-34;5,09E-35;1,87E-34;2,27E-34;0;0;8028;0;0;0;0;0;0;0;0;1,01E-04;0;1723;212400;44730;48620;2,30E+07;41440;19500;22120;12400;23790;0;2,86E-36;3,86E-36;1,36E-35;1,51E-35;8,63E-37;2,80E-37;8,88E-39;6,45E-39;4,23E-38;1,75E-38;2,08E-35;0;0,4497;1,306;3,023;1,507;0,1291;0,03596;0,003448;0,002237;0,01589;0,008487;0;0;2,52E-04;1,10E-04;8,23E-04;0,9961;0,001032;4,13E-04;5,42E-04;6,29E-05;6,59E-04;0;9,48E-04;0,01423;0,008391;0,00601;0,2306;0,01319;0,001619;6,93E-04;0,005405;9,55E-04
0;0;1;0;0;0;0;0;0;0;0;0;1565;166,3;196,6;126,9;0,09824;10,36;0,2709;0,1597;1,01;0,3791;0;343,6;0,126;0,6556;0,5357;0,06872;0,1994;0,05827;0,08221;3,066;12,72;0;343,6;0,126;0,6556;0,5357;0,06872;0,1994;0,05827;0,08221;3,066;12,72;0;0;0;0;0;0;0;0;0;0;0;0;0;649,9;101,5;38,08;629,4;164,2;3,026;3,243;29,96;3,854;0;46,64;0,9356;8,141;87,37;32,77;2,084;0,01378;0,01497;0,003301;0,01402;1,95E-24;0;0;5,29E-04;1,87E-08;3,28E-09;0;0;0;0;0;0;9,26E-26;0;1,09E-26;6,61E-23;8,33E-24;1,16E-22;1,75E-25;2,81E-25;1,38E-25;3,66E-26;2,27E-24;2,68E-23;0;1,98E-33;3,40E-30;3,97E-29;1,02E-28;7,29E-32;4,25E-31;2,42E-34;9,78E-35;5,03E-34;5,65E-34;0;0;8030;0;0;0;0;0;0;0;0;1,01E-04;0;1782;211500;45300;48830;2,43E+07;42680;19870;22670;12480;24510;0;2,86E-36;3,82E-36;1,35E-35;1,41E-35;8,56E-37;1,23E-36;8,81E-39;6,43E-39;4,19E-38;1,74E-38;2,08E-35;0;0,4497;1,292;3,004;1,456;0,1284;0,08567;0,003447;0,002237;0,01589;0,008488;0;0;2,52E-04;1,10E-04;8,23E-04;0,9961;0,001032;4,13E-04;5,42E-04;6,29E-05;6,59E-04;0;0,001009;0,01414;0,008381;0,005963;0,2299;0,01315;0,001619;6,90E-04;0,005402;9,53E-04
0;0;1;0;0;0;0;0;0;0;0;0;1565;147,4;207,3;133,7;0,09563;4,758;0,269;0,1606;1,02;0,5273;0;343,6;0,1291;0,6357;0,5393;0,1033;0,1692;0,05772;0,08244;2,791;13;0;343,6;0,1291;0,6357;0,5393;0,1033;0,1692;0,05772;0,08244;2,791;13;0;0;0;0;0;0;0;0;0;0;0;0;0;669,9;103,2;46,35;601,4;164,1;2,875;3,219;30,48;3,722;0;46,64;3,624;13,68;78,76;38,89;0,08299;0,01412;0,01501;0,003683;0,01427;2,96E-24;0;0;6,52E-04;1,86E-08;3,21E-09;0;0;0;0;0;0;1,49E-25;0;1,17E-26;6,48E-23;4,41E-23;1,80E-22;4,55E-25;6,76E-25;2,89E-25;2,20E-25;8,56E-24;5,88E-23;0;1,98E-33;6,31E-30;7,67E-29;2,11E-28;6,37E-30;3,24E-32;4,31E-34;3,09E-34;1,02E-33;1,62E-33;0;0;7266;0;0;0;0;0;0;0;0;4,13E-04;0;1832;202400;65480;67050;2,58E+07;43940;20700;23750;12560;25720;0;2,86E-36;3,71E-36;1,30E-35;1,45E-35;1,83E-36;1,24E-37;8,66E-39;6,47E-39;4,20E-38;1,93E-38;2,08E-35;0;0,4497;1,211;2,993;1,495;0,2199;0,0216;0,003418;0,002254;0,01606;0,01035;0;0;2,52E-04;1,10E-04;8,23E-04;0,9961;0,001032;4,13E-04;5,42E-04;6,29E-05;6,59E-04;0;0,00108;0,01222;0,007672;0,00639;0,232;0,01307;0,001627;6,97E-04;0,005379;9,69E-04
