RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
923949.01588,919058.13588,965445.88248,2651184.62091,936297.47693,1000000.0,1000000.0,1000000.0,909538.85535,
954141.23924,919058.13588,965445.88248,2651184.62091,936297.47693,1000000.0,1000000.0,1000000.0,871839.74351,
954133.85243,919050.46177,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,798954.79394,
944405.60305,911185.79228,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,831396.63121,
936865.78068,911185.79228,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,823295.8736,
942843.3283,906569.15364,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,905407.4884,
964173.68685,906569.15364,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,892841.11779,
961245.9088,904470.38344,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,835035.81296,
953698.69962,904462.70933,965424.69828,2641193.57597,936286.73144,1000000.0,1000000.0,1000000.0,849281.98371,
950155.71575,902979.14495,965424.69828,2641193.57597,936286.73144,1000000.0,1000000.0,1000000.0,875966.54711,
950155.71575,902979.14495,965424.69828,2641193.57597,936286.73144,1000000.0,1000000.0,1000000.0,858373.62825,
949940.68304,898167.62941,965424.69828,2641193.57597,936286.73144,1000000.0,1000000.0,1000000.0,857547.82002,
945960.98955,897120.77466,965424.69828,2641193.57597,936286.73144,1000000.0,1000000.0,1000000.0,823316.77881,
945960.98955,897120.77466,965424.69828,2641193.57597,936286.73144,1000000.0,1000000.0,1000000.0,797372.72502,
978690.68894,897051.19473,963993.09766,2641193.57597,936229.77457,1000000.0,1000000.0,1000000.0,839168.93697,
978690.68894,897051.19473,963993.09766,2641193.57597,936229.77457,1000000.0,1000000.0,1000000.0,852264.13388,
952923.28782,895172.5805,963993.09766,2641193.57597,936229.77457,1000000.0,1000000.0,1000000.0,844298.93713,
952923.28782,895172.5805,963993.09766,2641193.57597,936229.77457,1000000.0,1000000.0,1000000.0,879257.63468,
952915.901,895164.90639,963982.50556,2636198.0535,936224.40183,1000000.0,1000000.0,1000000.0,879257.63468,
952915.901,895164.90639,963982.50556,2636198.0535,936224.40183,1000000.0,1000000.0,1000000.0,768227.49721,
952915.901,895164.90639,963982.50556,2636198.0535,936224.40183,1000000.0,1000000.0,1000000.0,849794.46392,
952915.901,895164.90639,963982.50556,2636198.0535,936224.40183,1000000.0,1000000.0,1000000.0,890776.24406,
952915.901,895164.90639,963982.50556,2636198.0535,936224.40183,1000000.0,1000000.0,1000000.0,822917.84274,
963372.55302,892654.48999,963982.50556,2636198.0535,936224.40183,1000000.0,1000000.0,1000000.0,849367.53879,
963372.55302,892654.48999,963982.50556,2636198.0535,936224.40183,1000000.0,1000000.0,1000000.0,824708.54548,
963372.55302,892654.48999,963982.50556,2631171.50525,936224.40183,1000000.0,1000000.0,1000000.0,871747.15178,
963372.55302,892654.48999,963982.50556,2631171.50525,936224.40183,1000000.0,1000000.0,1000000.0,813956.91169,
955832.73066,892654.48999,963982.50556,2631171.50525,936224.40183,1000000.0,1000000.0,1000000.0,818953.03472,
943258.97323,892646.81588,963971.91346,2626175.98278,936219.02908,1000000.0,1000000.0,1000000.0,892215.38061,
954944.15415,885900.07194,963849.92499,2566298.53862,936157.15156,1000000.0,1000000.0,1000000.0,874622.46175,
981686.60815,885900.07194,963849.92499,3006764.72709,936157.15156,1000000.0,1000000.0,1000000.0,857029.54289,
959067.14105,885900.07194,963849.92499,3006764.72709,936157.15156,1000000.0,1000000.0,1000000.0,876768.01523,
972841.64593,885885.72233,963839.75928,3001774.94008,936151.99509,1000000.0,1000000.0,1000000.0,856308.03736,
1058400.69434,885885.72233,963839.75928,2996748.39183,936151.99509,1000000.0,1000000.0,1000000.0,849006.7028,
1038294.50136,885885.72233,963839.75928,2996748.39183,936151.99509,1000000.0,1000000.0,1000000.0,884382.45166,
1037917.85973,885783.19929,963299.6852,2671315.94219,935878.0475,1000000.0,1000000.0,1000000.0,869302.80692,
1037917.85973,885783.19929,963299.6852,2671315.94219,935878.0475,1000000.0,1000000.0,1000000.0,869302.80692,
1037917.85973,885783.19929,963299.6852,2671315.94219,935878.0475,1000000.0,1000000.0,1000000.0,829090.42096,
1033060.69258,885606.44643,963291.37637,2666309.28912,935873.83292,1000000.0,1000000.0,1000000.0,870663.69499,
1028034.14434,885606.44643,963291.37637,2666309.28912,935873.83292,1000000.0,1000000.0,1000000.0,827938.0349,
1017981.04784,885606.44643,963291.37637,2666309.28912,935873.83292,1000000.0,1000000.0,1000000.0,848337.24009,
