albuminEr,albuminPm,albuminRabA,albuminRabB,albuminRabC,albuminRabD,albuminRabE,albuminRabF,albuminRabG,albuminRabH,albuminRabI,cholEr,cholPm,cholRabA,cholRabB,cholRabC,cholRabD,cholRabE,cholRabF,cholRabG,cholRabH,cholRabI,LEr,LPm,LRabA,LRabB,LRabC,LRabD,LRabE,LRabF,LRabG,LRabH,LRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,protonCy,protonEr,protonPm,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,protonRabF,protonRabG,protonRabH,protonRabI,RaEr,RaPm,RaRabA,RaRabB,RaRabC,RaRabD,RaRabE,RaRabF,RaRabG,RaRabH,RaRabI,RmEr,RmPm,RmRabA,RmRabB,RmRabC,RmRabD,RmRabE,RmRabF,RmRabG,RmRabH,RmRabI,RrEr,RrPm,RrRabA,RrRabB,RrRabC,RrRabD,RrRabE,RrRabF,RrRabG,RrRabH,RrRabI,solubleMarkerEr,solubleMarkerPm,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,solubleMarkerRabF,solubleMarkerRabG,solubleMarkerRabH,solubleMarkerRabI,TfEr,TfPm,TfRabA,TfRabB,TfRabC,TfRabD,TfRabE,TfRabF,TfRabG,TfRabH,TfRabI,vATPaseEr,vATPasePm,vATPaseRabA,vATPaseRabB,vATPaseRabC,vATPaseRabD,vATPaseRabE,vATPaseRabF,vATPaseRabG,vATPaseRabH,vATPaseRabI,
0.0,4.8E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.12893,14.73548,4.08418,360.01836,5.8519,7.57305,0.03541,0.0,0.0,1.0E-4,0.0,0.0,11433.75103,12029.52054,13540.66745,2330529.2709,10857.05852,10843.86116,1896.25194,2007.91654,677.98209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,4.8E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.13529,15.15628,3.47087,391.60706,5.87511,7.57305,0.03541,0.0,0.0,1.0E-4,8.79325,2174.41739,11142.76175,14171.28429,9658.76996,2330319.71973,10703.15729,10895.52567,1896.25194,2115.46833,561.63705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,4.79967333891951E9,326661.08049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.13529,15.15628,3.47087,392.60706,5.87511,7.57305,0.03541,0.0,0.0,1.0E-4,19.95946,6757.67431,11122.4448,14171.28429,9658.76996,2634684.27849,10703.49512,10895.18784,1896.25194,2115.46833,550.47084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2376531.15464,23468.84536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2376531.15464,23468.84536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,4.79863954981513E9,1360450.18487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79943603238145E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563967.61855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.15404,16.50348,1.86543,392.60706,6.1146,7.57305,0.03541,0.0,0.0,1.0E-4,19.95712,8226.32961,11158.19547,14571.65836,9257.20212,2634096.89726,10673.87478,10895.18784,1896.25194,2115.46833,572.91675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2352098.79504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47901.20496,
0.0,4.79863954981513E9,1360450.18487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79943603238145E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563967.61855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.11809,16.50435,1.74387,392.60706,5.97522,7.8903,0.01418,0.0,0.0,1.0E-4,27.85836,11639.11473,11088.42206,14561.21489,8855.09174,2633789.83301,10859.72195,11135.59525,1888.67487,2115.46833,565.01551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2352098.79504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47901.20496,
0.0,4.79863954981513E9,1360450.18487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79943603238145E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563967.61855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16395,16.54563,1.74683,392.60706,6.0289,7.72517,0.03552,0.0,0.0,1.0E-4,27.85836,14492.41296,11105.24657,17201.16001,8856.17739,2631160.11382,10873.89949,11075.01903,1896.50372,2115.46833,565.01551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2352098.79504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47901.20496,
0.0,4.79863954981513E9,1360450.18487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79943603238145E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563967.61855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.15422,16.56361,1.74683,393.59882,6.0289,7.72517,0.03552,0.0,0.0,1.0E-4,35.36798,19284.82533,11107.70699,17196.08062,8856.14176,2630854.31044,10770.09779,11028.79312,2046.2257,2115.46833,557.50589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2352098.79504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47901.20496,
0.0,4.79863954981513E9,1360450.18487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79897913795447E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020862.04553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.15399,16.5634,1.74682,393.59882,5.94514,7.80948,0.03541,0.0,0.0,1.0E-4,57.69703,22254.78911,11109.09625,17222.9567,8846.44419,2630820.17742,10467.83135,11311.84533,2046.87215,2115.46833,553.36001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310324.89973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89675.10027,
0.0,4.79863954981513E9,1360450.18487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79863620775805E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363792.24195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.49805,17.00927,1.81356,393.59882,6.08847,7.80948,0.03541,0.0,0.0,1.0E-4,76.78552,24581.98607,11109.09625,17228.40751,8838.71401,2630501.33138,10467.83135,11311.84533,2046.87215,2115.46833,553.91881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2278689.49167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121310.50833,
0.0,4.79863954981513E9,1360450.18487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79770318912518E9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296810.87482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9869,17.5097,1.81264,390.72517,6.17916,7.71552,0.03547,0.0,0.0,1.0E-4,88.35081,28120.44664,11113.82323,17214.2725,8837.89981,2628165.6059,10464.54695,11297.84609,2061.11047,2114.73982,586.20928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2325611.81662,74388.18338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2209864.35193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190135.64807,
