RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
923949.01588,919058.13588,965445.88248,2651184.62091,936297.47693,1000000.0,1000000.0,1000000.0,909538.85535,
923713.15223,918625.69803,965389.27564,2476160.30485,936117.51273,1000000.0,1000000.0,1000000.0,884406.11412,
939642.17522,918625.69803,965389.27564,3150801.85768,936117.51273,1000000.0,1000000.0,1000000.0,856760.09877,
975481.8685,918625.69803,965389.27564,3150801.85768,936117.51273,1000000.0,1000000.0,1000000.0,904756.74901,
955375.67551,918625.69803,965389.27564,3150801.85768,936117.51273,1000000.0,1000000.0,1000000.0,881481.04349,
955375.67551,918625.69803,965389.27564,3150801.85768,936117.51273,1000000.0,1000000.0,1000000.0,881481.04349,
955375.67551,918584.27216,965389.27564,3145816.7353,936117.51273,1000000.0,1000000.0,1000000.0,859594.45627,
955375.67551,918584.27216,965389.27564,3145816.7353,936117.51273,1000000.0,1000000.0,1000000.0,852081.33956,
948619.70017,916343.09778,965053.78737,3145816.7353,935397.05424,1000000.0,1000000.0,1000000.0,849957.9711,
948612.96121,916330.74241,965052.17003,3140816.04056,935391.9124,1000000.0,1000000.0,1000000.0,909505.25399,
948612.96121,916330.74241,965052.17003,3140816.04056,935391.9124,1000000.0,1000000.0,1000000.0,909505.25399,
948606.22225,916318.38705,965050.55269,3135815.34581,935386.77057,1000000.0,1000000.0,1000000.0,896938.88338,
1021270.40341,916318.38705,965050.55269,3135815.34581,935386.77057,1000000.0,1000000.0,1000000.0,889399.06101,
1011790.26618,911748.79744,960477.44277,3135815.34581,935386.77057,1000000.0,1000000.0,1000000.0,751168.98425,
976604.42846,911748.79744,960477.44277,3135815.34581,935386.77057,1000000.0,1000000.0,1000000.0,858383.577,
976604.42846,911748.79744,960477.44277,3135815.34581,935386.77057,1000000.0,1000000.0,1000000.0,837301.71256,
976604.42846,911748.79744,960477.44277,3135815.34581,935386.77057,1000000.0,1000000.0,1000000.0,863020.84879,
969064.60609,911748.79744,960477.44277,3135815.34581,935386.77057,1000000.0,1000000.0,1000000.0,868884.18037,
969064.60609,908657.43543,958542.25654,3135815.34581,935386.77057,1000000.0,1000000.0,1000000.0,853804.53564,
969057.86713,908645.08006,958540.6392,3125788.10282,935381.62874,1000000.0,1000000.0,1000000.0,842797.1209,
970977.83476,904186.20236,958540.6392,3125788.10282,935381.62874,1000000.0,1000000.0,1000000.0,830915.91773,
991575.81303,903061.75729,958540.6392,3125788.10282,935381.62874,1000000.0,1000000.0,1000000.0,848391.98706,
973982.89417,903061.75729,958540.6392,3125788.10282,935381.62874,1000000.0,1000000.0,1000000.0,863980.04094,
988056.19776,903049.40192,958539.02186,3120787.40808,935376.4869,1000000.0,1000000.0,1000000.0,846134.44954,
975489.82715,903049.40192,958539.02186,3120787.40808,935376.4869,1000000.0,1000000.0,1000000.0,864623.09028,
967950.00478,903049.40192,958539.02186,3120787.40808,935376.4869,1000000.0,1000000.0,1000000.0,844516.89729,
1033218.28447,900859.40053,958482.70688,3110786.01859,935366.20323,1000000.0,1000000.0,1000000.0,877905.74776,
1033218.28447,900859.40053,958482.70688,3110786.01859,935366.20323,1000000.0,1000000.0,1000000.0,870365.92539,
1033218.28447,900859.40053,958482.70688,3110786.01859,935366.20323,1000000.0,1000000.0,1000000.0,850259.73241,
1025671.74395,900852.87496,958475.4818,3105795.94842,935350.19396,1000000.0,1000000.0,1000000.0,846410.58765,
1080919.43904,899125.98756,958475.4818,3105795.94842,935338.58184,1000000.0,1000000.0,1000000.0,865598.29843,
1073379.61667,899084.68766,958475.4818,3100810.70007,935338.58184,1000000.0,1000000.0,1000000.0,858058.47606,
1073379.61667,899084.68766,958475.4818,3100810.70007,935338.58184,1000000.0,1000000.0,1000000.0,865637.84777,
1043220.32719,899084.68766,958475.4818,3100810.70007,935338.58184,1000000.0,1000000.0,1000000.0,858098.0254,
1032494.89836,897296.82618,958422.40149,3100810.70007,935338.58184,1000000.0,1000000.0,1000000.0,921217.05263,
1024955.07599,897296.82618,958422.40149,3100810.70007,935338.58184,1000000.0,1000000.0,1000000.0,898597.58552,
1058465.34365,896368.81583,958422.40149,3095784.15183,935338.58184,1000000.0,1000000.0,1000000.0,883517.94078,
1050924.45643,896362.41961,958415.21752,3085761.61857,935322.66365,1000000.0,1000000.0,1000000.0,875978.11841,
1047970.52556,894303.64513,958415.21752,3085761.61857,935308.82076,1000000.0,1000000.0,1000000.0,868438.29604,
1047970.52556,894303.64513,958415.21752,3080735.07033,935308.82076,1000000.0,1000000.0,1000000.0,855871.92543,
1047970.52556,894303.64513,958415.21752,3080735.07033,935308.82076,1000000.0,1000000.0,1000000.0,898575.6794,
1040430.70319,894303.64513,958415.21752,3080735.07033,935308.82076,1000000.0,1000000.0,1000000.0,886009.30878,
1040430.70319,894303.64513,958415.21752,3080735.07033,935308.82076,1000000.0,1000000.0,1000000.0,843283.6487,
