RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,
923949.01588,919058.13588,965445.88248,2651184.62091,936297.47693,1000000.0,1000000.0,1000000.0,909538.85535,
923941.62907,919050.46177,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,876866.29175,
1008023.67237,919050.46177,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,840828.1382,
1000483.85,919050.46177,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,857664.26839,
982890.93114,919050.46177,965435.29038,2646189.09844,936292.10418,1000000.0,1000000.0,1000000.0,917438.3275,
974855.33235,918422.56881,964530.27236,2641193.57597,935776.49168,1000000.0,1000000.0,1000000.0,884765.76391,
974855.33235,918422.56881,964530.27236,2641193.57597,935776.49168,1000000.0,1000000.0,1000000.0,837462.39835,
973449.06452,914802.2884,964530.27236,2641193.57597,935776.49168,1000000.0,1000000.0,1000000.0,869704.34034,
958362.03297,914794.61428,964519.68026,2636198.0535,935771.11893,1000000.0,1000000.0,1000000.0,826978.68025,
958192.21348,910141.16733,964355.14034,2636198.0535,935732.37705,1000000.0,1000000.0,1000000.0,853693.39897,
949631.14206,905329.65179,964355.14034,2636198.0535,935732.37705,1000000.0,1000000.0,1000000.0,883049.22217,
988533.51764,904424.93685,964355.14034,2636198.0535,935732.37705,1000000.0,1000000.0,1000000.0,875509.3998,
988533.51764,904424.93685,964355.14034,2636198.0535,935732.37705,1000000.0,1000000.0,1000000.0,857916.48094,
983744.80394,904172.04138,964344.54823,2631202.53103,935727.0043,1000000.0,1000000.0,1000000.0,846845.79227,
963638.61095,904172.04138,964344.54823,2631202.53103,935727.0043,1000000.0,1000000.0,1000000.0,772379.43117,
997506.96969,904172.04138,964344.54823,2631202.53103,935727.0043,1000000.0,1000000.0,1000000.0,840934.5397,
994096.42477,904090.46041,963153.37461,2631202.53103,935383.75556,1000000.0,1000000.0,1000000.0,842919.0703,
994096.42477,904090.46041,963153.37461,2631202.53103,935383.75556,1000000.0,1000000.0,1000000.0,831224.89123,
994089.03796,904082.7863,963142.78251,2626207.00856,935378.38282,1000000.0,1000000.0,1000000.0,849861.24834,
994089.03796,904082.7863,963142.78251,2626207.00856,935378.38282,1000000.0,1000000.0,1000000.0,779455.68373,
993897.33815,901066.01702,962597.35876,2624934.35314,935378.38282,1000000.0,1000000.0,1000000.0,828551.5568,
976368.38694,901002.04937,962597.35876,2624934.35314,935378.38282,1000000.0,1000000.0,1000000.0,841425.25801,
1052020.07151,900994.37525,962586.76666,2619938.83067,935373.01007,1000000.0,1000000.0,1000000.0,824358.17934,
1034044.10805,898636.01445,962586.76666,2615140.4137,935373.01007,1000000.0,1000000.0,1000000.0,864530.09828,
1034044.10805,898636.01445,962586.76666,2615140.4137,935373.01007,1000000.0,1000000.0,1000000.0,899133.34084,
1011424.64095,898247.3709,962447.14706,2612680.50806,933334.63061,1000000.0,1000000.0,1000000.0,899133.34084,
998858.27033,898247.3709,962447.14706,2612680.50806,933334.63061,1000000.0,1000000.0,1000000.0,868974.05136,
998858.27033,898247.3709,962447.14706,2612680.50806,933334.63061,1000000.0,1000000.0,1000000.0,816195.29478,
998858.27033,898247.3709,962447.14706,2607653.95982,933334.63061,1000000.0,1000000.0,1000000.0,857595.28736,
987729.1274,896810.14323,962447.14706,2607653.95982,933334.63061,1000000.0,1000000.0,1000000.0,845037.18999,
987721.78445,896806.37036,962436.61787,2602667.48482,933316.20237,1000000.0,1000000.0,1000000.0,814426.43076,
1051399.98927,896802.59749,962426.08867,2724458.07906,933297.77414,1000000.0,1000000.0,1000000.0,809422.74777,
1043860.1669,896802.59749,962426.08867,2724458.07906,933297.77414,1000000.0,1000000.0,1000000.0,864468.52092,
1043852.82396,896798.82462,962415.55948,2719471.60406,933279.3459,1000000.0,1000000.0,1000000.0,890272.63454,
1040469.81402,895155.28631,962415.55948,2719471.60406,933279.3459,1000000.0,1000000.0,1000000.0,837493.87796,
1040469.81402,895155.28631,962415.55948,2719471.60406,933279.3459,1000000.0,1000000.0,1000000.0,818091.00949,
1027903.4434,895155.28631,962415.55948,2714445.05581,933279.3459,1000000.0,1000000.0,1000000.0,880491.15865,
1020363.62103,895155.28631,962415.55948,2714445.05581,933279.3459,1000000.0,1000000.0,1000000.0,865411.51392,
1048356.69252,892740.24888,962405.02652,2709456.79952,933260.91108,1000000.0,1000000.0,1000000.0,840278.77269,
1036887.64992,892500.00977,961950.54504,2709456.79952,932858.30366,1000000.0,1000000.0,1000000.0,855378.33536,
1024321.2793,892500.00977,961950.54504,2709456.79952,932858.30366,1000000.0,1000000.0,1000000.0,771962.70928,
1091884.65645,892498.03116,961940.01209,2704468.54322,932839.86884,1000000.0,1000000.0,1000000.0,879922.17156,
1087455.99907,891414.05922,961940.01209,2688435.69671,929252.60345,1000000.0,1000000.0,1000000.0,857302.70446,
1087455.99907,891414.05922,961940.01209,2688435.69671,929252.60345,1000000.0,1000000.0,1000000.0,886113.79236,
1079916.1767,886387.51097,961940.01209,2688435.69671,929252.60345,1000000.0,1000000.0,1000000.0,849249.16607,
1079916.1767,886387.51097,961940.01209,2688435.69671,929252.60345,1000000.0,1000000.0,1000000.0,824950.91039,
1079916.1767,886387.51097,961940.01209,2688435.69671,929252.60345,1000000.0,1000000.0,1000000.0,857644.24975,
